composition,Ms
BaTm2CuO5,76478.93697480838
BaTm2NiO5,152071.44954916247
BaTmCo4O7,591672.6831432431
BaTmFe4O7,840993.4145742484
BaY2CoO5,72494.91115155946
BaY2CuO5,71904.7215112758
BaY2NiO5,146060.96404867654
BaYCo2O5,438297.9012958961
BaYCo4O7,652270.6631204692
BaYFe2O5,688809.0289876659
BaYFe4O7,841157.5388604356
BaYFeCuO5,381095.61274819827
BaYFeO4,464675.37444460555
BaYMn2O6,533441.5189665597
BaYb2NiO5,157119.3757489502
Ca2ScOsO6,226121.41432587564
Ca4GdB3O10,280209.1390083849
Ca4YFe5O13,792353.8298739571
CaEu2(CuO3)2,892238.0043006811
Ce(AgGe)2,71045.82906229503
Ce(Al10Co)2,64516.96983436605
Ce(AlAu)2,95321.3482446533
Ce(AlGa)2,92721.35767618065
Ce(AlGe)2,87049.27147368577
Ce(AlPd)2,95859.554254225
Ce(AlZn)2,97148.74366828415
Ce(AsPd)2,59584.13752074552
Ce(AsRh)2,77201.24206128481
Ce(BC)2,108646.01162775997
Ce(BIr)2,142568.282388146
Ce(BIr)4,59123.218875078994
Ce(BO2)3,95001.30642160983
Ce(CO2)3,128166.34952888901
Ce(CuGe)2,86558.96813627027
Ce(CuSb)2,96319.31489519936
Ce(CuSi)2,71596.26372149015
Ce(CuSn)2,83615.43920579163
Ce(FeGe)2,657853.2104396618
Ce(GaPd)2,107619.01179388184
Ce(GeAu)2,95476.81549915817
Ce(GeIr)2,88904.71884880835
Ce(GePd)2,92999.17137973152
Ce(GePt)2,88850.93810260989
Ce(GeRh)2,84285.09529587696
Ce(MgSi)2,84579.93659955588
Ce(N4O9)2,93803.06823741863
Ce(NiAs)2,50840.87461710857
Ce(NiGe)2,87062.12227624691
Ce(NiSb)2,87270.16233314671
Ce(PIr)2,58114.05854082788
Ce(PO3)3,52103.807319888074
Ce(PPt2)2,68472.99014887252
Ce(SiAg)2,91072.89765986335
Ce(SiAu)2,104424.6013060119
Ce(SiAu2)2,60308.21781503441
Ce(SiIr)2,70713.88375399113
Ce(SiNi)2,63747.04039492419
Ce(SiOs)2,106393.56972827029
Ce(SiPd)2,89152.34090262839
Ce(SiPt)2,74862.50416103481
Ce(SiRh)2,72993.07199818737
Ce(SiRu)2,93520.21186482694
Ce(Sn2Pd)2,55354.952983110095
Ce(SnIr)2,67681.91729275703
Ce(SnPd)2,85064.64920624634
Ce(SnPt)2,75704.62644660434
Ce(SnRh)2,76653.35067109065
Ce(ZnAu2)2,68123.7153400575
Ce0.178Nd1.82Fe14B1,1242000.0
Ce0.1Pr0.3Nd1.6Fe12Co2B1,1257324.0504259733
Ce0.1Pr0.3Nd1.6Fe14B1,1241408.5561167838
Ce0.44Nd1.56Fe14B1,1268000.0
Ce0.5Nd1.5Fe14B1,1066891.0186377505
Ce0.76Nd1.24Fe14B1,1200000.0
Ce10Ga5Br4,195804.0234777165
Ce10S14O,164896.72209523438
Ce10S19,138586.34690521308
Ce10Se14O,93095.52268890225
Ce10Se19,108271.9527668507
Ce10Si8O3,225228.5314841259
Ce11In9Ni4,81694.48825710198
Ce11Nd(Fe41B3)2,905000.0
Ce11O20,81370.18631399561
Ce12(ReC3)5,61992.8153084132
Ce12C6I17,101608.13417198838
Ce12InPt7,112818.69343158731
Ce16Ru9,62621.70348327508
Ce18C18Cl11,166170.989847912
Ce2(GeO3)3,104116.26074995198
Ce2(N2O9)3,118674.62159070862
Ce2(SeO3)3,85631.16821769097
Ce2(WO4)3,71144.84054772876
Ce2(Zn2Ge)3,91665.545490205
Ce2(ZnGe2)3,86982.0510533826
Ce2Al3Ge4,111928.998731682
Ce2AlGe6,67176.8630052168
Ce2AlRu2,57019.55424180259
Ce2AlSi2O9,54103.320644568565
Ce2Au,229383.46217706133
Ce2B8O15,84338.13201221652
Ce2Bi,317040.9092796007
Ce2BiN,173640.17657567703
Ce2BiO2,129536.69790656086
Ce2Br3N,113021.84348810726
Ce2Br5,121304.16099182918
Ce2C2Cl,163963.47039877527
Ce2Cd(SeO)2,123392.06091585787
Ce2CdCu2,139056.34399714996
Ce2CdPd2,162304.07155891784
Ce2CdPt2,157292.26333064382
Ce2Co12P7,174732.00257261848
Ce2Cr0.2Co16,1101000.0
Ce2Cr0.5Co16,1118000.0
Ce2Cr1.5Co16,1138000.0
Ce2CrN3,348125.4086192413
Ce2CuBiS5,91520.68757645812
Ce2CuGe6,50499.308743904694
Ce2Fe(SeO)2,407411.46882878424
Ce2Fe14B,931056.4170875876
Ce2Fe2S2O3,617668.1108787663
Ce2Fe2Se2O3,585873.4943825151
