composition,Ms
Ba2CoAg2(SeO)2,150376.56100758788
Ba2CoC2(O3F)2,155010.79707619737
Ba2CoCl6,114922.86975760863
Ba2CoCu2(SO)2,163593.30524220437
Ba2CoF6,193106.93904922873
Ba2CoO4,388748.1609363849
Ba2CoWO6,199261.08148721248
Ba2CrO4,154718.26813922
Ba2Cu2Te2P2O13,60921.56165067736
Ba2Cu5F14,159180.70798448086
Ba2CuF6,68097.53962035853
Ba2CuTeO6,59930.50151004351
Ba2CuWO6,65386.83330604584
Ba2Fe2O5,655564.0598186083
Ba2Fe3(P2O9)2,424930.05794560607
Ba2Fe3F10,495767.7658780691
Ba2Fe3P6HO22,309675.75193842483
Ba2Fe6O11,986545.9517353904
Ba2FeBiS5,188100.46550200245
Ba2FeSbS5,188247.59085141157
Ba2InIrO6,122998.85183151785
Ba2InRuO6,191563.77225353842
Ba2Li(CuO2)3,108130.58902581774
Ba2LiB10O19,73170.71620279278
Ba2MgReO6,67714.32284626405
Ba2Mn(AsO4)2,209402.49476163535
Ba2Mn(PO4)2,228550.86281700784
Ba2Mn3(AsO)2,718295.2175271615
Ba2Mn3(SeO3)6,258397.3136001127
Ba2MnO3,417081.6719440724
Ba2MnP4(H3O8)2,135057.0528251813
Ba2MnS3,278238.28823367256
Ba2MnSe3,248773.64234329533
Ba2MnTe3,205266.34671394096
Ba2MnV2HO9,172367.01355662776
Ba2NO6,169094.40687398476
Ba2Na(CuO2)3,103651.34720730035
Ba2Na(NiO2)3,53538.50009592495
Ba2NaOsO6,59635.7676249696
Ba2NbCrO6,202574.454523855
Ba2Ni(PO4)2,94740.79514543056
Ba2Ni2ClF7,191271.40235366617
Ba2Ni3F10,266554.9871425194
Ba2Ni7F18,375522.20245179697
Ba2NiF6,131643.87619617055
Ba2NiOsO6,266628.2820291307
Ba2P4H6O13,54438.699094466836
Ba2ReNiO6,206590.26114735208
Ba2SrIrO6,170453.7771181938
Ba2SrNp,233428.45121985083
Ba2TaCrO6,198189.69921334102
Ba2Ti2Fe2As4O,314012.55793742434
Ba2U(Cu2Se3)2,60256.474415858684
Ba2UCoO6,184563.05958566343
Ba2UCu2S5,78683.22956887708
Ba2UCu2Se5,70269.36826156072
Ba2UCuO6,69035.80909468811
Ba2UFeO6,368795.0713602159
Ba2UMnO6,294739.1162657086
Ba2UNiO6,122757.73709927232
Ba2US6,77686.41985251493
Ba2V2FeHO9,214955.14073120523
Ba2V3HO9,89872.97129251264
Ba2V3P6HO22,122762.98401090331
Ba2VO4,75483.99004561386
Ba2ZnO6,350829.3921923152
Ba2ZnReO6,66982.81251990085
Ba3Al2Cu2F16,56906.814393464265
Ba3Al2O12,303680.1463432802
Ba3BiRu2O9,119827.31147356564
Ba3CaIr2O9,129524.9197482039
Ba3CaRu2O9,246012.10632721623
Ba3CoSb2O9,123794.30836340845
Ba3Cr2O8,89918.3851592395
Ba3CrS5,119593.16076414485
Ba3Cu2(ClO2)2,85809.12491662227
Ba3CuRu2O9,312927.96375590336
Ba3Fe26O41,1430494.7686331756
Ba3Fe2P4(O6F5)2,210582.84515887333
Ba3Fe3Se7,239900.10394482093
Ba3FeN3,116072.37900010827
Ba3FeO5,232287.5916741634
Ba3FeS4Br,178230.3319076963
Ba3FeS5,149713.1304148948
Ba3Ge2B7H3O20,58938.77111462081
Ba3In4(CuO4)3,84748.90674873501
Ba3InRu2O9,127370.83404092937
Ba3Li2Mo4P6(ClO14)2,54224.95529079692
Ba3LiIr2O9,220442.59265543657
Ba3LiOs2O9,132915.16029542938
Ba3LiRu2O9,215849.79754100848
Ba3MgIr2O9,121278.78397860797
Ba3MgRu2O9,177000.0459944095
Ba3Mn2O8,181290.9945469969
Ba3MnSb2O9,201234.44602779578
Ba3Mo2(IO9)2,94569.96337040314
Ba3Na2Cr4F20,257345.31645241764
Ba3NaIr2O9,202640.9705350172
Ba3NaIrO6,101207.29416166196
Ba3NaMn4Si6O22F,316809.0534946758
Ba3NaOs2O9,127758.59193842224
Ba3NaRu2O9,145258.6687660511
Ba3NaRuO6,151813.67854772072
Ba3NaSi2B7O20,94208.01394715246
Ba3Nb2(OF3)4,52410.33669493675
Ba3Nb2CoO9,130006.37830326788
Ba3NbFe3(SiO7)2,398589.23079940607
Ba3NiO4,120774.17969835605
Ba3NiRu2O9,364158.25201664976
Ba3Np,205779.00044518962
Ba3SrRu2O9,235535.89143550303
Ba3TaFe3(SiO7)2,402976.7932960471
Ba3Ti2(O3F5)2,103770.37124077504
Ba3UFeS6,129136.6690033435
Ba3UFeSe6,115104.54637348799
Ba3UMnS6,135984.54881330603
Ba3V2S4O3,68270.69103045377
Ba3ZnRu2O9,259366.76493526393
Ba3ZrRu2O9,85801.6586838392
Ba4Co(ReO6)2,104984.39712863551
Ba4Fe2S4I5,128139.4364687442
Ba4Fe3(S3F2)2,339165.22647153307
Ba4Fe3Se10,257420.0114702251
Ba4Fe9O20,935530.9971156645
Ba4Mn3O10,345796.41610408184
Ba4MnGa2(S3F2)2,120877.81332347478
Ba4NaMn2O9,184501.37581460288
Ba4Ru3O10,143545.15752097298
Ba4UCr2S9,180393.23472598556
Ba4Zr(RuO4)3,126264.30269437471
Ba5(RuO5)2,198494.1564486059
Ba5(Si2O7)2,50841.36576442488
Ba5Co5ClO13,258240.2356995581
Ba5Co5O14,308056.2017149119
Ba5Cr3F18,215977.95816385356
Ba5Cr5O14,308406.5762970211
Ba5Fe4S11,288803.15081402427
Ba5Fe5O14,590988.763653202
Ba5Mn3ClO12,143875.20541434767
Ba5Mn3O12F,149378.66070523884
Ba5Na2Ru3O14,196640.03317951667
Ba5Os3ClO15,65493.215156873055
Ba5Os3NO18,59851.303696726165
Ba5Ru2Br2O9,140701.45205614896
Ba5Ru2Cl2O9,149678.41296716925
Ba5Ru2ClO9,153724.23656533568
Ba5V5O14,176220.97280197163
Ba6(NiO3)5,50548.80120891469
Ba6Cu11F34,147759.25853597332
Ba6Fe25S27,107828.24808624486
Ba6Fe8S15,354334.814704552
Ba6Mn5O16,364955.16091602476
Ba6Na2As2Ru2O17,120815.794243699
Ba6Na2Cr2Ru2O17,160409.89009100242
Ba6Na2Mn2Ru2O17,202925.50910843324
Ba6Na2V2Ru2O17,120421.33396938587
Ba6Ru2Pt(ClO6)2,120530.0971330493
Ba6Ru3(ClO6)2,121930.66197050629
Ba7Ca2Mn5O20,229064.84030199802
Ba7Fe6CuF34,376002.44589375606
Ba7MnFe6F34,421223.9210428687
Ba7Ru4Br2O15,138665.16020284517
Ba7Ru4Cl2O15,142510.53056584622
Ba8U3(HgS6)3,61442.521524454314
Ba8V7O22,110983.20123058274
Ba9(RhO3)8,58684.11970880722
Ba9Cu7Cl2O15,72664.39851662946
Ba9Fe4S15,213335.86241237487
BaAl2C2O11,136566.7817403936
BaAl2O6,247667.58030868773
BaAl2O8,420020.8093193821
BaAlO5,378229.39792689605
BaB2H10O9,70062.81099878125
BaB2O9,281346.0383263787
BaBr2O,139394.59038136332
BaC2(N3O2)2,80412.247772815
BaCa(FeO2)4,896792.4216100574
BaCa4(CoN2)2,174607.92483737896
BaCaCrF7,187897.9339650578
BaCl2O,157280.78424150476
BaClO3,99165.38886471074
BaCo(SeO3)2,178294.7475405673
BaCo2(PO4)2,269866.6001032416
BaCoF4,107881.99170622077
BaCoO2,412158.3057202992
BaCoO3,140767.818308343
BaCoP2O7,184439.18102624212
BaCoSO,345595.39273634943
BaCoSiO4,257492.794045413
BaCr(Si2O5)2,154855.18564077248
BaCr10O15,1005544.4136615422
BaCr2(P2O7)2,191505.9896343286
BaCr2O4,581861.3204169351
BaCr4S7,472841.4048671302
BaCrF5,284763.77096236835
BaCrF6,167229.39851302214
BaCrO3,277271.28046771296
BaCrP2O7,241879.79597353673
BaCu(SeO3)2,56855.99323345297
BaCu(SiO3)2,64203.50504222071
BaCu2(AsO4)2,96980.44507483346
BaCu2(PO4)2,98713.95034816621
BaCu2Ge3(HO5)2,86310.21981906837
BaCu2Si2O7,114888.70733927944
BaCuAs2O7,54908.22853318748
BaCuB2O5,75118.42433556847
BaCuCO3F2,88877.99250702864
BaCuF4,106903.45854188147
BaCuP2O7,61742.24464457945
BaCuPClO4,71333.89748023699
BaCuTe2O7,57401.02882217859
BaF3,129094.86989128921
BaFe(Si2O5)2,162901.28149175312
BaFe2(P2O7)2,334098.4020753575
BaFe2(PO4)2,439665.2808585561
BaFe2(SeO3)4,314185.85913435614
BaFe2Se3,429509.2799418416
BaFe3(PO4)3,491876.97836510977
BaFe4O7,1173901.2023926713
BaFeBP2O9,261475.69432372838
BaFeCoPbO5,544949.5374383436
BaFeCuF7,400376.67370552465
BaFeF4,407628.1828543334
BaFeF5,421433.7991364942
BaFeO3,545264.7749540886
BaFeOF5,495073.215691265
BaFePHO5,321890.25916731445
BaGe3O8,123123.26000465127
BaGeO4,183431.92819582918
BaH2O3,223046.56559166496
BaHgRuO5,138731.5605317308
BaInCo4O7,615068.1955128147
BaLiCrF6,217322.04353777427
BaMn2FeSi2O9,662619.7231515325
BaMn2O3,1072864.9298863478
BaMn2P2O9,382651.5574908374
BaMn2Si2O7,534679.1886984899
BaMn2V2O8,510015.4347913585
BaMn3(PO4)3,510615.9374905092
BaMn3O6,826348.5338887047
BaMn4O8,856932.8346952704
BaMn9V6(HO13)2,755244.5136822247
BaMn9V6O26,734245.8225793657
BaMnBi2,295508.148994477
BaMnF4,485962.50555631187
BaMnF5,373138.68265291565
BaMnFeF7,631528.7108891862
BaMnGaF7,330309.80048171576
BaMnGe,463276.0473326409
BaMnO3,418213.63569016766
BaMnP(O2F)2,299700.83977800293
BaMnP2O7,302915.79690770083
BaMnPClO4F,268369.1528817073
BaMnS2,441959.5957587535
BaMnSb2,310159.9816037399
BaMnSbF,435157.51095901534
BaMnSnSe4,206285.0296708746
BaMnV2(AgO4)2,225273.6409940534
BaMo(PO4)2,103598.56742020376
BaMo2(P2O7)2,189228.6654913252
BaMo2(PO4)3,172670.49015502646
BaMo2(PO4)4,59288.20355028397
BaN,197661.6506307715
BaN2,490093.1505945009
BaN6O,141223.18523712514
BaNa4Cu3F12,103549.74637950948
BaNa6Th(CO4)6,230325.14290731942
BaNaCr2F9,326972.7651551366
BaNaFe2F9,502738.2094858843
BaNaFe4P6H3O25,410258.7990684601
BaNb6O17,50867.793936329166
BaNiF4,212320.73749412628
BaNp(PO4)2,171693.76570539596
BaNpO3,324901.984331049
BaNpPH2O7,115164.51441520083
BaO10,212931.1129408888
BaO2,336175.61706304684
BaO4,206073.6190209042
BaO6,303979.3211277762
BaOsO3,148437.28105240673
BaOsO9,51247.36023998953
BaP2(HO4)2,102451.88872994989
BaP4(W2O7)8,50287.881228553466
BaPO4,92538.7862741055
BaPaO3,102223.81488570836
BaPdO5,161446.85452903956
BaPuO3,439822.4215713966
BaRh2,97794.2506658418
BaRhF6,79981.91069332142
BaRhO3,133806.22158034975
BaRu2Xe5F22,91890.70258671333
BaRuO3,215424.6734458633
BaS2(NO3)2,200035.91523832481
BaS4O,111480.45911565042
BaS5O8,119518.58527205126
BaSi2O9,110028.23035133003
BaSiO4,185780.0867476267
BaSr(FeO2)4,718326.8911555491
BaSr2Mn2(Si2O7)2,242896.32708861056
BaTa4O14,182349.18695237522
