,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
22,Dy2Fe8Co6B,pedziwiatr1987a,Journal of Magnetism and Magnetic Materials 66 (1987) 63-68 ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,6.0,1.0,0.0,0.863961038961039,1.18565789473684,8.85009053556447e-28,4.519727774451376e+27,13.5,0.7110874304504758,15.6,916.0,22
23,Gd2Co14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8601,1.176,8.717934959999999e-28,4.58824253490416e+27,17.0,0.9090174989415788,9.0,1050.0,23
24,Gd2Fe10Co4B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.8766,1.2065,9.2710785114e-28,4.314492639752191e+27,16.8,0.84472621030904,2.85,873.0,24
25,Gd2Fe11.2Mn0.8Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8,0.0,11.2,2.0,1.0,0.0,0.8761,1.2052,9.25052718292e-28,4.324077883242725e+27,14.5,0.7306989200549803,3.25,679.0,25
26,Gd2Fe11.4Mn0.6Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.0,11.4,2.0,1.0,0.0,0.8766,1.2058,9.26569951848e-28,4.316997321165216e+27,15.1,0.759688727121573,3.51,708.0,26
27,Gd2Fe11.6Mn0.4Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,11.6,2.0,1.0,0.0,0.8774,1.2065,9.288008119399997e-28,4.306628448833008e+27,15.6,0.7829588886825773,3.42,728.0,27
28,Gd2Fe11.8Mn0.2Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,11.8,2.0,1.0,0.0,0.8781,1.2071,9.30746055231e-28,4.297627669243516e+27,16.6,0.8314072948318749,3.19,755.0,28
29,Gd2Fe11MnCo2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.8755,1.2047,9.234028511750001e-28,4.331803822037295e+27,13.9,0.7017146377301711,2.71,655.0,29
30,Gd2Fe12Co2B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8787,1.2078,9.32558914782e-28,4.289273242254149e+27,17.0,0.8497860357838183,2.88,783.0,30
31,Gd2Fe12Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8787,1.2078,9.32558914782e-28,4.289273242254149e+27,17.0,0.8497860357838183,2.88,783.0,31
32,Gd2Fe12Mn2B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.8786,1.2103,9.34276512988e-28,4.281387730926912e+27,6.5,0.3243208521132608,4.51,443.0,32
33,Gd2Fe13MnB,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,0.879,1.2105,9.352819305e-28,4.2767852874711355e+27,11.8,0.5881341674077346,4.19,560.0,33
34,Gd2Fe14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8773,1.2087,9.30282349023e-28,4.2997698539597945e+27,16.7,0.8368326902211277,3.1,661.0,34
35,Gd2Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337581,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8773,1.2087,9.30282349023e-28,4.299769853959796e+27,16.7,0.8368326902211278,3.1,677.0,35
36,Gd2Fe14B,SunEtal1989b,"phys. stat. sol. (a) 115, K219 (1989) ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.878,1.208,9.31227872e-28,4.295404079142511e+27,17.1,0.856006556653577,2.06,660.0,36
37,Gd2Fe14B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8798,1.2099,9.365207235960001e-28,4.271128122654908e+27,17.3,0.8611239298156284,2.86,669.0,37
38,Gd2Fe14B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8798,1.2099,9.365207235960001e-28,4.271128122654908e+27,17.3,0.8611239298156284,2.86,669.0,38
39,Gd2Fe14B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8798,1.2099,9.365207235960001e-28,4.271128122654908e+27,17.3,0.8611239298156284,2.86,669.0,39
40,Gd2Fe14B,JurczykWallace1986a,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.8798,1.2099,9.36520723596e-28,4.271128122654908e+27,17.3,0.8611239298156284,2.86,669.0,40
41,Gd2Fe14B,KowalczykWrzeciono1988a,"phys. stat. sol. (a) 110, 241 (1988) ",,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8796,1.2095,9.357855055199998e-28,4.2744838175039573e+27,17.3,0.8618004885731024,2.9,669.0,41
42,Gd2Fe14B,KowalczykWrzeciono1988b,Journal of Magnetism and Magnetic Materials 74 (1988) 260-262 ,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.88,1.2095,9.357855055199998e-28,4.2744838175039573e+27,17.3,0.8618004885731024,2.9,669.0,42
43,Gd2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.879,1.209,9.34122969e-28,4.282091472691321e+27,17.5,0.873315050176192,2.4,661.0,43
45,Gd2Fe14B,MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals,"J. Appl. Phys. 59 (3) 1 February 1986, 873",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.874,1.194,9.12067944e-28,4.385638182236125e+27,,0.893,2.5,659.0,45
46,Gd2Fe14B,SagawaHirosawaEtal1987d,Japanes journal of applied physics 26 (1987) 785,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.874,1.194,,,,0.893,2.5,659.0,46
47,Gd2Fe14C,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.8807,1.1887,9.219943408630001e-28,4.3384214226910994e+27,12.4,0.6269463476355802,5.2,643.0,47
49,Gd2Fe8Co6B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.8726,1.2004,9.140214843040001e-28,4.3762647472623465e+27,15.3,0.7803186262495913,2.81,928.0,49
50,La0.58CePr0.1Nd0.32Fe12Co2B,jurczyk1988rtpdf,Journal of Magnetism and Magnetic Materials 73 (1988) 199-204 ,,0.58,1.0,0.1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8769,1.2125,9.32356252125e-28,4.2902055849181176e+27,,1.27,3.8,636.0,50
51,La0.58CePr0.1Nd0.32Fe14B,jurczyk1988rtpdf,Journal of Magnetism and Magnetic Materials 73 (1988) 199-204 ,,0.58,1.0,0.1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8785,1.2198,9.4139559255e-28,4.2490107577039133e+27,,1.26,4.0,488.0,51
52,La2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.882,1.234,9.599582159999999e-28,4.166848028727117e+27,28.4,1.37912285907365,2.0,530.0,52
53,Nd0.2Pr1.8Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8648,1.1888,8.89078602752e-28,4.499039778506244e+27,21.1,1.1063161286865784,12.7,988.0,53
