,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
88,Nd2Fe12.6Co1.4B,KuYen1987,"Journal of the Less-Common Metals, 127 (1987) 43-48 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1.4,1.0,0.0,0.8796,1.217,9.415882267199998e-28,4.248141476804468e+27,31.2,1.5446515385122148,4.1,668.0,88
89,Nd2Fe12.6Mn1.4B,KuYen1987,"Journal of the Less-Common Metals, 127 (1987) 43-48 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.4,0.0,12.6,0.0,1.0,0.0,0.8827,1.225,9.544701302500001e-28,4.1908068919373066e+27,15.5,0.7570181693288405,2.7,350.0,89
90,Nd2Fe12.6Ni1.4B,KuYen1987,"Journal of the Less-Common Metals, 127 (1987) 43-48 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,12.6,0.0,1.0,0.0,0.8799,1.22,9.445532921999999e-28,4.2348060538579326e+27,26.7,1.317715766158033,4.1,670.0,90
91,Nd2Fe12Co2B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.879,1.2194,9.421584353999999e-28,4.245570436676897e+27,31.3,1.5486645017105565,5.63,734.0,91
92,Nd2Fe12Co2B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.88,1.218,9.432192e-28,4.240795776845932e+27,32.3,1.59634529526346,6.74,727.0,92
93,Nd2Fe12Co2B,JurczykWallace1986a,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8794,1.2172,9.413147549920001e-28,4.2493756512230527e+27,32.4,1.6045272265790669,7.0,723.0,93
94,Nd2Fe12Co2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8794,1.2172,9.413147549920001e-28,4.2493756512230543e+27,32.4,1.6045272265790669,7.0,723.0,94
95,Nd2Fe12Co2B,kowalczyk1989,Journal of Magnetism and Magnetic Materials 79 (1989) 109-112 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8794,1.2172,9.413147549920001e-28,4.2493756512230543e+27,32.4,1.6045272265790669,6.7,723.0,95
96,Nd2Fe12Co2B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.875634479742807,1.201366252124899,9.211304448742466e-28,4.342490276223669e+27,34.253286645839,1.7334769017955185,7.061083667064049,708.36651490034,96
97,Nd2Fe12Mn2B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.8809,1.2208,9.47322256048e-28,4.222427979985433e+27,12.3,0.6052632671100011,5.15,381.0,97
98,Nd2Fe12Mn2B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.8786,1.2188,9.408379856479999e-28,4.251529020955727e+27,14.3,0.7085298326943674,5.06,324.0,98
99,Nd2Fe13.5Co0.5B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.5,1.0,0.0,0.8755336199357017,1.1996665630312249,9.196153444160175e-28,4.3496446903461753e+27,33.4938879919485,1.697838202982187,7.2708770898191295,614.887331171128,99
100,Nd2Fe13.85Re0.15B,jurczyk1990,Journal of the Less-Common Metals. 158 ( 1990) 117- 122 ,,,,,,,,,,0.0,0.0,13.85,0.0,1.0,0.0,0.8800266666666658,1.21954054054054,9.413272134646717e-28,4.249319410704704e+27,30.0,1.485653695045638,7.8,571.0,100
101,Nd2Fe13.8Re0.2B,jurczyk1990,Journal of the Less-Common Metals. 158 ( 1990) 117- 122 ,,,,,,,,,,0.0,0.0,13.8,0.0,1.0,0.0,0.8798,1.21902702702702,9.413272134646717e-28,4.249319410704704e+27,29.3,1.4509884421612396,8.0,568.0,101
102,Nd2Fe13.95Re0.05B,jurczyk1990,Journal of the Less-Common Metals. 158 ( 1990) 117- 122 ,,,,,,,,,,0.0,0.0,13.95,0.0,1.0,0.0,0.880426666666666,1.22009459459459,9.413272134646717e-28,4.249319410704704e+27,31.4,1.554984200814434,7.3,586.0,102
103,Nd2Fe13.9Re0.1B,jurczyk1990,Journal of the Less-Common Metals. 158 ( 1990) 117- 122 ,,,,,,,,,,0.0,0.0,13.9,0.0,1.0,0.0,0.88012,1.21982432432432,9.413272134646717e-28,4.249319410704704e+27,30.8,1.5252711269135215,7.5,580.0,103
104,Nd2Fe13CoB,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.8809,1.2218,9.48098240858e-28,4.218972072324616e+27,29.8,1.4652099870868316,6.11,676.0,104
105,Nd2Fe13CoB,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.8807,1.2219,9.477453395310002e-28,4.220543043745732e+27,30.5,1.5001860709227062,6.0,643.0,105
106,Nd2Fe13CoB,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.8755672398714035,1.2002331260624493,9.201203084770028e-28,4.3472575957168687e+27,33.9904984392648,1.7220662834210887,7.17551644311228,650.0398123252152,106
107,Nd2Fe13MnB,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,0.8797,1.2196,9.438144009639999e-28,4.238121389029931e+27,24.0,1.1853909001620722,6.82,496.0,107
108,Nd2Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337574 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8797,1.2226,9.46136017234e-28,4.227721941813269e+27,30.0,1.4781027542099447,7.6,600.0,108
109,Nd2Fe14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8797,1.2226,9.46136017234e-28,4.2277219418132694e+27,30.0,1.4781027542099452,6.3,596.0,109
110,Nd2Fe14B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.88,1.2186,9.4368384e-28,4.238707743474764e+27,30.0,1.4819436273602011,7.6,600.0,110
112,Nd2Fe14B,ChenEtAl1988b," Journal of Applied Physics 64, 5546 (1988)", https://doi.org/10.1063/1.342331,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8792,1.219,9.422780281599999e-28,4.2450315941366663e+27,31.4,1.553415129070265,6.6,589.0,112
113,Nd2Fe14B,QuanEtal1989,"Solid State Communications, Vol. 72, No. 9, pp. 955-957, 1989. ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8805,1.2205,9.462295451249997e-28,4.2273040623262167e+27,32.16,1.58436953365663,7.92258064516129,585.39417971314,113
114,Nd2Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.58522760075052,6.761635302643997,582.340131548825,114
115,Nd2Fe14B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8807,1.2203,9.46504327547e-28,4.226076821398763e+27,32.2,1.58587960751244,7.07,589.0,115
116,Nd2Fe14B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8807,1.2203,9.46504327547e-28,4.226076821398763e+27,32.2,1.58587960751244,7.07,589.0,116
117,Nd2Fe14B,JurczykWallace1986a,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8807,1.2203,9.46504327547e-28,4.226076821398763e+27,32.2,1.58587960751244,7.07,589.0,117
118,Nd2Fe14B,KowalczykWrzeciono1988a,"phys. stat. sol. (a) 110, 241 (1988) ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8807,1.2203,9.46504327547e-28,4.226076821398763e+27,32.2,1.58587960751244,7.1,585.0,118
119,Nd2Fe14B,KowalczykWrzeciono1988b,Journal of Magnetism and Magnetic Materials 74 (1988) 260-262 ,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8807,1.2203,9.46504327547e-28,4.226076821398763e+27,32.2,1.58587960751244,7.1,585.0,119
120,Nd2Fe14B,KuEtal1986,Journal of Magnetism and Magnetic Materials 54-57 (1986) 533-534 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8792,1.219,9.422780281599999e-28,4.2450315941366663e+27,32.1,1.5880454026482644,7.121794839154384,585.0,120
121,Nd2Fe14B,KuYen1987,"Journal of the Less-Common Metals, 127 (1987) 43-48 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8792,1.219,9.422780281599999e-28,4.2450315941366663e+27,32.1,1.5880454026482644,6.3,585.0,121
122,Nd2Fe14B,PedziwiatrWallaceBruzo1987,"IEEE TRANSACTIONS ON MAGNETICS, VOL. MAG-23, NO. 2. MARCH 1987, 1795",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.879153222606428,1.21771495034445,9.41184535741764e-28,4.249963581103179e+27,32.1081081081081,1.5902920235656943,8.56546732617097,589.166666666666,122
123,Nd2Fe14B,PedziwiatrEtal1988,"Journal of Applied Physics 63, 3710 (1988)",10.1063/1.340643,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8792,1.2201,9.43128320064e-28,4.241204420336528e+27,32.2,1.591556397518848,7.1,589.0,123
125,Nd2Fe14B,MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals,"J. Appl. Phys. 59 (3) 1 February 1986, 873",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.881,1.221,9.47692581e-28,4.220778003536992e+27,,1.6,6.7,586.0,125
126,Nd2Fe14B,SagawaHirosawaEtal1987d,Japanes journal of applied physics 26 (1987) 785,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.811,1.221,,,,1.6,6.7,586.0,126
127,Nd2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.88,1.22,9.44768e-28,4.233843652621596e+27,32.5,1.603596622671778,7.3,585.0,127
128,Nd2Fe14B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8707,1.2203,9.251319933469999e-28,4.323707350697657e+27,32.2,1.622516486591821,7.07,589.0,128
131,Nd2Fe2Co12B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.876306878456841,1.2126975127493913,9.312470888474276e-28,4.295315440879027e+27,25.999685860957495,1.301487854029883,4.18119213651693,989.684210331398,131
132,Nd2Fe3Co11B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,0.8762396385854376,1.211564386686942,9.302341738071528e-28,4.299992531589407e+27,27.1778793921229,1.3619470517529666,4.56740275567971,980.636228966663,132
134,Nd2Fe4Co10B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.8695,1.1997,9.07009490925e-28,4.410097182026904e+27,26.5,1.3619808125297317,5.53,971.0,134
135,Nd2Fe4Co10B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.8761723987140341,1.210431260624493,9.292215367695042e-28,4.304678531135045e+27,28.2610573159362,1.4177709902215343,5.04897402154934,969.364918630099,135
136,Nd2Fe5Co9B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.8761051588426308,1.2092981345620435,9.28209177703744e-28,4.3093734646057086e+27,29.2967274360736,1.471330369610801,5.50193709340692,956.391218322362,136
137,Nd2Fe6Co8B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0,0.8760379189712275,1.2081650084995943,9.271970965791329e-28,4.314077357185311e+27,30.2658866310644,1.5216623140311047,5.87384361556366,939.26963897784,137
138,Nd2Fe7Co7B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.8731,1.2086,9.213201430459998e-28,4.34159616523253e+27,28.0,1.4167212623327836,4.8,902.0,138
139,Nd2Fe7Co7B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.8730999999999999,1.2086,9.213201430459998e-28,4.34159616523253e+27,28.0,1.4167212623327836,4.85,950.0,139
140,Nd2Fe7Co7B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.875970679099824,1.2070318824371449,9.261852933649327e-28,4.318790234152349e+27,31.197039583114496,1.570190878710535,6.19806981436698,916.2462718550609,140
141,Nd2Fe8Co6B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.8746,1.2099,9.25482951084e-28,4.322067732652317e+27,31.0,1.531235918115352,6.35,880.0,141
142,Nd2Fe8Co6B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.8759034392284206,1.2058987563746957,9.251737680304049e-28,4.323512120880349e+27,32.0331769278126,1.6140376045830511,6.44123946346947,886.8710116191788,142
143,Nd2Fe9Co5B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.8758361993570171,1.2047656303122465,9.241625205448112e-28,4.328243042838314e+27,32.7933017866289,1.654145626167418,6.63196075688318,850.508210900509,143
144,Nd2FeCo13B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.8763741183282445,1.2138306388118407,9.32260281921068e-28,4.29064723400784e+27,24.802489208321695,1.2402094446852223,4.50065030298491,995.827043508153,144
146,NdGdFe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337580,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8788,1.2128,9.36632632832e-28,4.270617806584008e+27,24.5,1.219365060030969,5.0,636.0,146
147,NdLaFe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.3939002605163,4.9640141739660475,563.291906610078,147
148,NdTbFe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337583,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8769,1.2098,9.30280077378e-28,4.2997803535404346e+27,20.9,1.0472961637042364,11.0,622.0,148
149,Pr1.9Dy0.1Fe13CoB,jurczyk1989a,Journal of Magnetism and Magnetic Materials 78 (1989) 279-282,,0.0,0.0,1.9,0.0,0.0,0.0,0.1,0.1,0.0,0.0,13.0,1.0,1.0,0.0,0.880331168831168,1.22181134068534,9.46882977693332e-28,4.22438685057393e+27,30.7,1.5113985915332613,8.4,632.0,149
150,Pr2Co14B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.863581081081081,1.18921249630626,8.86881719057366e-28,4.510184294080898e+27,20.9,1.0985441860770169,13.7,986.0,150
151,Pr2Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8649,1.189,8.894338398899998e-28,4.497242875866628e+27,21.0,1.1006331591483325,14.0,988.0,151
152,Pr2Co14B,PedziwiatrChenEtal1987,"IEEE  TRANSACTIONS  ON  MAGNETICS, VOL. MAG-23, NO. 5, SEPTEMBER 1987, 217",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8630000000000001,1.1869999999999998,8.840408029999999e-28,4.5246780311790647e+27,20.9,1.1020744211152205,13.0,986.0,152
153,Pr2Co14B,PedziwiatrYangWallace1987x,"Journal of Applied Physics 61, 3439 (1987)", https://doi.org/10.1063/1.338746 ,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.863,1.187,8.840408029999999e-28,4.5246780311790647e+27,20.9,1.1020744211152205,13.7,986.0,153
154,Pr2Fe11.2Mn0.8Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,11.2,2.0,1.0,0.0,0.8778,1.2185,9.388942655399997e-28,4.260330632331024e+27,25.1,1.2462178911549906,9.4,596.0,154
155,Pr2Fe11.4Mn0.6Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,11.4,2.0,1.0,0.0,0.8785,1.219,9.407781827499998e-28,4.251799279940306e+27,26.5,1.3130932945438885,10.3,618.0,155
156,Pr2Fe11.6Mn0.4Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,11.6,2.0,1.0,0.0,0.879,1.2195,9.422356995e-28,4.245222296419686e+27,28.0,1.3852731718415958,9.8,646.0,156
157,Pr2Fe11.8Mn0.2Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,11.8,2.0,1.0,0.0,0.8797,1.2202,9.44278724218e-28,4.2360374086714504e+27,29.3,1.4464531202481676,9.2,672.0,157
158,Pr2Fe11Co3B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.877094594594594,1.21815756640509,9.371224371783112e-28,4.268385689327913e+27,29.6,1.4724220814871425,7.6,747.0,158
159,Pr2Fe11MnCo2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.8772,1.2175,9.368417052e-28,4.269664744639082e+27,23.5,1.1693340422918757,7.2,569.0,159
161,Pr2Fe12Co2B,JurczykWallace1986a,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8804,1.2208,9.462471585280005e-28,4.2272253754742834e+27,30.9,1.5222670182275675,7.7,688.0,161
162,Pr2Fe12Co2B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8804,1.2208,9.46247158528e-28,4.2272253754742845e+27,30.9,1.5222670182275684,7.7,688.0,162
163,Pr2Fe12Mn2B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.879,1.2228,9.447854148e-28,4.233765612106485e+27,12.4,0.6118225106884158,4.56,366.0,163
164,Pr2Fe13CoB,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.879527027027027,1.22087172078668,9.444270404741778e-28,4.2353721659554345e+27,30.3,1.4955852119089454,7.9,631.0,164
165,Pr2Fe13CoB,jurczyk1989a,Journal of Magnetism and Magnetic Materials 78 (1989) 279-282,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.881,1.22315916677229,9.493684420411474e-28,4.213327326743637e+27,31.2,1.531992889842654,7.9,628.0,165
166,Pr2Fe13MnB,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,0.88,1.2237,9.476332800000001e-28,4.221042131403404e+27,22.3,1.09698706234958,7.08,471.0,166
167,Pr2Fe14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8803,1.2232,9.478920396880001e-28,4.2198898529800983e+27,28.8,1.4163499075859658,5.9,570.0,167
168,Pr2Fe14B,Kowalczyk1989xxx,Journal of Magnetism and Magnetic Materials 82 (1989) L1-L4 ,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8903571428571418,1.21972078018392,9.669163794848569e-28,4.136862385277904e+27,30.5,1.4704418989197443,8.0,564.0,168
169,Pr2Fe14B,HuangEtal1986a,"Journal of the Less-Common Metals, 124 (1986) 55 - 60 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8814,1.2253,9.51893860788e-28,4.2021491731112815e+27,30.1,1.4740591693829683,7.93,566.0,169
170,Pr2Fe14B,jurczyk1989a,Journal of Magnetism and Magnetic Materials 78 (1989) 279-282,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.881454545454545,1.22524637681159,9.519700171843292e-28,4.2018130064966976e+27,31.0,1.518012579467633,8.0,566.0,170
171,Pr2Fe14B,jurczyk1986yxcvycv,"Journal of the Less-Common Metals, 124 (1986) 149 - 154 ",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8814,1.2253,9.51893860788e-28,4.2021491731112815e+27,31.0,1.5181340282681732,7.93,566.0,171
172,Pr2Fe14B,JurczykWallace1986a,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8814,1.2253,9.51893860788e-28,4.2021491731112815e+27,31.0,1.5181340282681732,7.93,566.0,172
173,Pr2Fe14B,PedziwiatrEtal1988,"Journal of Applied Physics 63, 3710 (1988)",10.1063/1.340643,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8814,1.2253,9.51893860788e-28,4.2021491731112815e+27,31.0,1.5181340282681732,8.0,566.0,173
175,Pr2Fe14B,MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals,"J. Appl. Phys. 59 (3) 1 February 1986, 873",,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.881,1.227,9.52349547e-28,4.200138502297202e+27,,1.56,8.7,569.0,175
