composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
32Nd-4Dy-7Co-1Ga-1.2B-Fe,,725.0,True,False
36Nd-1.2B-7Co-Fe,,702.0,True,False
3C-Si35FeC37,,300.0,False,False
50% La0.67Sr0.33MnO3 + 50% CoFe2O4,,336.0,True,False
50NiFe2O4 + 50CoFe2O4,,820.15,False,False
53.5Ni–19.5Fe–27.0Ga,,322.0,False,False
54.0Ni–19.0Fe–27.0Ga,,310.0,False,False
55.0Ni–18.0Fe–27.0Ga,,302.0,False,False
600Gd,,294.0,True,False
600GdHx,,312.0,True,False
6H-SiC,,300.0,False,False
6H-SiC:Cr,,69.8,False,False
75% La0.67Sr0.33MnO3 + 25% CoFe2O4,,318.0,True,False
79Ni16Fe5Mo,,673.0,False,False
A1Q1073Mn39.5Al3Ni48Sn9.5W1,,249.5,False,True
A1Q1173Mn39.5Al3Ni48Sn9.5W1,,254.5,False,True
A1Q873Mn39.5Al3Ni48Sn9.5W1,,248.5,False,True
A1Q973Mn39.5Al3Ni48Sn9.5W1,,249.5,False,True
A2CuHCBr4,,3.98,False,True
A2CuPCCl4,,4.8,False,True
A573Mn39.5Al3Ni48Sn9.5,,259.5,False,False
Ag,,0.0,False,True
Ag-doped ZnO,,400.0,False,False
AgI,,535.5,False,True
Al,,0.0,False,True
Al(Co2Ni)3,,1012.15,False,False
Al(CoB)2,12.0,,False,False
Al(CoNi)2,,992.15,False,False
Al(FeB)2,292.0,283.0,False,False
Al(FeO2)2,,590.0,False,False
Al-1at%Fe,,833.0,False,False
Al-doped Coq2,,300.0,False,False
Al-doped rutile TiO2,273.0,,False,False
Al0.01Zn0.94Fe0.04O1,,300.0,False,True
Al0.01Zn0.96Fe0.03O1,,300.0,False,True
Al0.02Sn0.98O2,,300.0,False,True
Al0.02Zn0.96Ag0.02O1,,273.0,False,True
Al0.02Zn0.96Cu0.02O1,,273.0,False,True
Al0.02Zn0.9795Ag0.0005O1,,273.0,False,False
Al0.02Zn0.9795Cu0.0005O1,,273.0,False,False
Al0.03Fe0.37Ni0.38B0.06P0.16,,482.0,False,True
Al0.03Fe0.75B0.06P0.16,,630.0,False,True
Al0.03Zn0.92Fe0.05O1,,300.0,False,True
Al0.04Sn0.96O2,,300.0,False,True
Al0.04Zn0.81Ni0.15O1,,400.0,False,True
Al0.06Sn0.94O2,,300.0,False,True
Al0.06Zn0.83Ni0.11O1,,400.0,False,True
Al0.06Zn0.87Ni0.07O1,,400.0,False,True
Al0.1Fe1.9Co1O4,,754.0,False,True
Al0.1Sn0.9O2,,300.0,False,True
Al0.1Zn0.3Fe1.9Ni0.7O4,,667.0,False,True
Al0.229Ni0.771,,168.5,False,True
Al0.245Ni0.755,,48.0,False,True
Al0.248Ni0.752,,50.2,False,True
Al0.2Cr0.1Fe1.7Ni1O4,,800.0,False,True
Al0.2Cr1.8Ni1O4,,65.0,False,True
Al0.2Fe1.8Co0.5Cu0.5O4,,583.0,False,True
Al0.2Fe1.8Co1O4,,737.0,False,True
Al0.2Zn0.3Fe1.8Ni0.7O4,,651.0,False,True
Al0.2Zn0.5Fe1.8Ni0.5O4,,661.0,False,True
Al0.3Co1Si0.7,,320.0,False,True
Al0.3Cr1.7Ni1O4,,45.0,False,True
Al0.3Fe1.7Co1O4,,672.0,False,True
Al0.3Zn0.3Fe1.7Ni0.7O4,,626.0,False,True
Al0.44Fe2.56O4,,773.15,False,True
Al0.4Cr0.2Fe1.4Ni1O4,,730.0,False,True
Al0.4Fe1.6Co0.5Cu0.5O4,,548.0,False,True
Al0.4Fe1.6Co1O4,,630.0,False,True
Al0.4Zn0.3Fe1.6Ni0.7O4,,606.0,False,True
Al0.4Zn0.5Fe1.6Ni0.5O4,,657.0,False,True
Al0.5Fe1.5Co1O4,,582.0,False,True
Al0.5Fe1.5Ni1O4,,883.0,False,True
Al0.5Fe1Co2Si0.5,,1107.0,False,True
Al0.5V1.1Fe2.4,,118.0,False,True
Al0.5V1Fe2.5,,129.0,False,True
Al0.5Zn0.3Fe1.5Ni0.7O4,,590.0,False,True
Al0.66Co1.34O4,,7.45,False,True
Al0.6Co20Cu20,,837.35,False,True
Al0.6Co30Cu10,,843.85,False,True
Al0.6Cr0.3Fe1.1Ni1O4,,660.0,False,True
Al0.6Fe0.2Ni0.2,,853.15,False,True
Al0.6Fe1.4Co0.5Cu0.5O4,,538.0,False,True
Al0.6Fe1.4Co1O4,,554.0,False,True
Al0.6Ga0.6Fe0.8Cu1O4,,390.0,False,True
Al0.6Zn0.3Fe1.4Ni0.7O4,,561.0,False,True
Al0.6Zn0.5Fe1.4Ni0.5O4,,653.0,False,True
Al0.7Fe1.3Co1O4,,518.0,False,True
Al0.7Fe2Si0.3B2,,306.0,False,True
Al0.8Co1.2O4,,6.45,False,True
Al0.8Cr0.4Fe0.8Ni1O4,,600.0,False,True
Al0.8Fe1.2Co0.5Cu0.5O4,,513.0,False,True
Al0.8Fe1.2Co1O4,,476.0,False,True
Al0.8Fe2Si0.2B2,,306.0,False,True
Al0.8Ga0.2Fe2B2,,304.0,False,True
Al0.8Zn0.5Fe1.2Ni0.5O4,,650.0,False,True
Al0.94Cr0.06N1,,340.0,False,True
Al0.96Cr0.63Fe0.41Co2,,840.0,False,True
Al0.96Cr0.82Fe0.2Co2,,588.0,False,True
Al0.97Cr0.32Fe0.72Co2,,850.0,False,True
Al0.97Cr1.03Co2,,333.0,False,True
Al0.99951Zn0.00049N1,,300.0,False,True
Al0.99975Zn0.00025N1,,300.0,False,True
Al0.99982Zn0.00018N1,,300.0,False,True
Al0.99Fe1.03Co2,,850.0,False,True
Al0.9Fe1.1Co1O4,,442.0,False,True
Al0.9Fe2Ge0.1B2,,300.9,False,True
Al0.9Fe2Si0.1B2,,294.0,False,True
Al0.9Ga0.1Fe2B2,,300.0,False,True
Al1.05Fe2Si0.15B2,,300.0,False,True
Al1.07Co0.93O4,,6.1,False,True
Al1.1Fe2B2,,275.0,False,True
Al1.25Cr1Fe1Co1Ni1,438.15,,False,True
