composition,Tc_sim
BeFe4P,870
MnZnFeNi9,420
Nd2Fe14B,568.42
Ni80Fe20,850
Al2Fe6C,780
ZnFeNi6,420
Mn3Fe3GeP2,1140
Ga2Fe6H,1440
VCoFe2H4,590
ZnFe2Ni9,540
Mn2Al4Fe10C3,310
Co2Fe2H4,1040
Fe6Si2B,1260
Y2Ti4Fe18,430
Fe18Ti4Y2,430
Fe16N2,1130
