Compound;Filename;Reference;DOI;La;Ce;Pr;Nd;Sm;Gd;Tb;Dy;Mn;Ni;Fe;Co;B;C;a;c;V;Nfu;muB;mu0Ms (T);mu0Ha (T);Tc (K)
Gd2Fe10Co4B;HuangEtal1986b;Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ;;0;0;0;0;0;2;0;0;0;0;10;4;1;0;0.8766;1.2065;9.2710785114e-28;4.3144926397521906e+27;16.8;0.84472621030904016;2.85;873
Gd2Fe11.2Mn0.8Co2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0.8;0;11.2;2;1;0;0.8761;1.2052;9.2505271829199999e-28;4.324077883242725e+27;14.5;0.73069892005498038;3.25;679
Gd2Fe11.4Mn0.6Co2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0.6;0;11.4;2;1;0;0.8766;1.2058;9.2656995184800015e-28;4.3169973211652163e+27;15.1;0.75968872712157309;3.51;708
Gd2Fe11.6Mn0.4Co2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0.4;0;11.6;2;1;0;0.8774;1.2065;9.2880081193999985e-28;4.3066284488330078e+27;15.6;0.78295888868257746;3.42;728
Gd2Fe11.8Mn0.2Co2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0.2;0;11.8;2;1;0;0.8781;1.2071;9.3074605523100012e-28;4.2976276692435163e+27;16.6;0.83140729483187492;3.19;755
Gd2Fe11MnCo2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;1;0;11;2;1;0;0.8755;1.2047;9.23402851175e-28;4.3318038220372946e+27;13.9;0.70171463773017118;2.71;655
Gd2Fe12Co2B;HuangEtal1986b;Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ;;0;0;0;0;0;2;0;0;0;0;12;2;1;0;0.8787;1.2078;9.32558914782e-28;4.2892732422541493e+27;17;0.84978603578381839;2.88;783
Gd2Fe12Co2B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0;0;12;2;1;0;0.8787;1.2078;9.32558914782e-28;4.2892732422541493e+27;17;0.84978603578381839;2.88;783
Gd2Fe12Mn2B;HuangEtal1986a;Journal of the Less-Common Metals, 124 (1986) 55 - 60 ;;0;0;0;0;0;2;0;0;2;0;12;0;1;0;0.8786;1.2103;9.34276512988e-28;4.2813877309269117e+27;6.5;0.32432085211326084;4.51;443
Gd2Fe13MnB;HuangEtal1986a;Journal of the Less-Common Metals, 124 (1986) 55 - 60 ;;0;0;0;0;0;2;0;0;1;0;13;0;1;0;0.879;1.2105;9.352819305e-28;4.2767852874711349e+27;11.8;0.58813416740773461;4.19;560
