System,M0_1,s_1,M0_2,s_2,M_s/theo [T] 0K,M_s/exp_[T]_5K,M_s/exp_[T]_300K,T_Ctheo MF [K],T_C/theo [K],T_C_exp_[K],Type 1=noRE,Stable,source
CeCo11Ti,0.800268416,2.518869835,0.754949732,1,,0.8,,,,920,2,y,https://doi.org/10.1063/1.350069
ErCo11Ti,0.754120603,2.518869822,0.711435091,1,,0.7539,,,,1008,2,y,https://doi.org/10.1088/0953-8984/13/8/301
Nd1.2Fe10.6Mo1.4,1.300781438,1.456824452,1.26721503,1,,1.3,0.91,,,433,2,y,https://doi.org/10.1016/j.actamat.2020.05.045
La2Fe14B,1.485705313,-0.220186727,1.513694455,0.3,,1.4858,1.379,,,530,2,y,https://doi.org/10.1103/RevModPhys.63.819
Ce2Fe14B,1.474153834,0.235430566,1.477044835,0.3,,1.474,1.198899,,,424,2,y,https://doi.org/10.1103/RevModPhys.63.819
Pr2Fe14B,1.851122254,1.016553832,1335,1,,1.8506,1.57,,,565,2,y,https://doi.org/10.1103/RevModPhys.63.819
Nd2Fe14B,1.860471491,0.961603864,1.860474528,0.97770637,,1.86,1.603,,,585,2,y,https://doi.org/10.1103/RevModPhys.63.819
Sm2Fe14B,1.650006506,0.509392515,1.650009368,0.522061213,,1.6498,1.49624,,,616,2,y,https://doi.org/10.1103/RevModPhys.63.819
Gd2Fe14B,0.893115732,-0.441198757,0.913044144,0.3,,0.8932,0.8733,,,661,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tb2Fe14B,0.663574134,-2.059942407,0.709402905,0.3,,0.6639,0.70417,,,620,2,y,https://doi.org/10.1103/RevModPhys.63.819
Dy2Fe14B,0.570078772,-9.898060104,0.699725689,0.3,,0.5715,0.781313,,,598,2,y,https://doi.org/10.1103/RevModPhys.63.819
Ho2Fe14B,0.566941258,-11.5624594,0.713466551,0.3,,0.5687,0.807418,,,573,2,y,https://doi.org/10.1103/RevModPhys.63.819
Er2Fe14B,0.658428371,-9.96634519,0.814979046,0.3,,0.66028,0.90597,,,554,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tm2Fe14B,0.926151776,-6.45448329,1.09084027,0.3,,0.9279,1.158715,,,541,2,y,https://doi.org/10.1103/RevModPhys.63.819
Yb2Fe14B,1.185112855,-1.345947657,1.25190925,0.3,,1.1856,1.1856,,,524,2,y,https://doi.org/10.1103/RevModPhys.63.819
Lu2Fe14B,1.466214392,1.394494326,1.438720614,1,,1.4656,1.169399,,,535,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Fe14B,1.589746888,0.555628244,1.589750528,0.569734708,,1.5895,1.407318,,,565,1,y,https://doi.org/10.1103/RevModPhys.63.819
Th2Fe14B,1.394859928,0.11238369,1.404628709,0.300000001,,1.3948,1.221738,,,481,2,y,https://doi.org/10.1103/RevModPhys.63.819
La2Co14B,0.996816162,2.51886983,0.940378265,1,,0.9965,,,,955,2,y,https://doi.org/10.1103/RevModPhys.63.819
Pr2Co14B,1.308090166,2.518869824,1.234043687,1,,1.3077,,,,995,2,y,https://doi.org/10.1103/RevModPhys.63.819
Nd2Co14B,1.353500692,2.518869823,1.276885532,1,,1.3531,,,,1000,2,y,https://doi.org/10.1103/RevModPhys.63.819
Sm2Co14B,0.965573871,2.51886982,0.910924736,1,,0.9653,,,,1029,2,y,https://doi.org/10.1103/RevModPhys.63.819
Gd2Co14B,0.288779467,2.518869817,0.27243675,1,,0.2887,,,,1050,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tb2Co14B,,,,,,,,,,1035,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Co14B,1.066008625,2.518869821,1.005671279,1,,1.0657,,,,1015,1,y,https://doi.org/10.1103/RevModPhys.63.819
Ce2Fe14C,1.233593901,2.518870176,1.162890655,1,,1.2318,,,,345,2,y,https://doi.org/10.1103/RevModPhys.63.819
Pr2Fe14C,1.678549219,2.518869978,1.583011863,1,,1.6772,,,,513,2,y,https://doi.org/10.1103/RevModPhys.63.819
Nd2Fe14C,1.56167888,2.518869963,1.472840203,1,,1.5605,,,,535,2,y,https://doi.org/10.1103/RevModPhys.63.819
Sm2Fe14C,1.52221835,2.518869937,1.435704597,1,,1.5212,,,,580,2,y,https://doi.org/10.1103/RevModPhys.63.819
Gd2Fe14C,0.918943233,2.518869913,0.866759877,1,,0.9184,,,,630,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tb2Fe14C,0.61360526,2.518869934,0.578734825,1,,0.6132,,,,585,2,y,https://doi.org/10.1103/RevModPhys.63.819
Dy2Fe14C,0.540786426,2.518869951,0.510036266,1,,0.5404,,,,555,2,y,https://doi.org/10.1103/RevModPhys.63.819
Ho2Fe14C,0.564138044,2.51886997,0.532038655,1,,0.5637,,,,525,2,y,https://doi.org/10.1103/RevModPhys.63.819
Er2Fe14C,0.600494156,2.518869984,0.566309021,1,,0.6,,,,505,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tm2Fe14C,0.96080251,2.518869987,0.906098357,1,,0.96,,,,500,2,y,https://doi.org/10.1103/RevModPhys.63.819
Lu2Fe14C,1.428411143,2.518869991,1.347072206,1,,1.4272,,,,495,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Fe14C,,,,,,,,,,520,1,y,https://doi.org/10.1103/RevModPhys.63.819
