System,M_s/theo [T],M_s/exp [T],T_Ctheo MF [K],T_C/theo [K],T_C_exp [K],Type 1=noRE,Stable,source
Er2Fe14B,NaN,0.66027999999999998,,,554,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tm2Fe14B,NaN,0.92789999999999995,,,541,2,y,https://doi.org/10.1103/RevModPhys.63.819
Yb2Fe14B,NaN,1.1856,,,524,2,y,https://doi.org/10.1103/RevModPhys.63.819
Lu2Fe14B,NaN,1.4656,,,535,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Fe14B,NaN,1.5894999999999999,,,565,1,y,https://doi.org/10.1103/RevModPhys.63.819
Th2Fe14B,NaN,1.3948,,,481,2,y,https://doi.org/10.1103/RevModPhys.63.819
La2Co14B,NaN,0.99650000000000005,,,955,2,y,https://doi.org/10.1103/RevModPhys.63.819
Pr2Co14B,NaN,1.3077000000000001,,,995,2,y,https://doi.org/10.1103/RevModPhys.63.819
Nd2Co14B,NaN,1.3531,,,1000,2,y,https://doi.org/10.1103/RevModPhys.63.819
Sm2Co14B,NaN,0.96530000000000005,,,1029,2,y,https://doi.org/10.1103/RevModPhys.63.819
Gd2Co14B,NaN,0.28870000000000001,,,1050,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tb2Co14B,NaN,NaN,,,1035,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Co14B,NaN,1.0657000000000001,,,1015,1,y,https://doi.org/10.1103/RevModPhys.63.819
Ce2Fe14C,NaN,1.2318,,,345,2,y,https://doi.org/10.1103/RevModPhys.63.819
Pr2Fe14C,NaN,1.6772,,,513,2,y,https://doi.org/10.1103/RevModPhys.63.819
Nd2Fe14C,NaN,1.5605,,,535,2,y,https://doi.org/10.1103/RevModPhys.63.819
Sm2Fe14C,NaN,1.5212000000000001,,,580,2,y,https://doi.org/10.1103/RevModPhys.63.819
Gd2Fe14C,NaN,0.91839999999999999,,,630,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tb2Fe14C,NaN,0.61319999999999997,,,585,2,y,https://doi.org/10.1103/RevModPhys.63.819
Dy2Fe14C,NaN,0.54039999999999999,,,555,2,y,https://doi.org/10.1103/RevModPhys.63.819
Ho2Fe14C,NaN,0.56369999999999998,,,525,2,y,https://doi.org/10.1103/RevModPhys.63.819
Er2Fe14C,NaN,0.59999999999999998,,,505,2,y,https://doi.org/10.1103/RevModPhys.63.819
Tm2Fe14C,NaN,0.95999999999999996,,,500,2,y,https://doi.org/10.1103/RevModPhys.63.819
Lu2Fe14C,NaN,1.4272,,,495,2,y,https://doi.org/10.1103/RevModPhys.63.819
Y2Fe14C,NaN,NaN,,,520,1,y,https://doi.org/10.1103/RevModPhys.63.819
