composition,Ms
AcNiTe2,80531.07902548564
AcNp2O4,592840.4591783552
AcNpAs,534961.2837050073
AcNpAs2,362015.8025610645
AcNpAu2,396791.368365971
AcNpGa2,385151.7612640265
AcNpO3,384440.67600831133
AcNpPd2,461611.10205010563
AcNpPt,529698.9161675626
AcNpRh2,390107.20162449236
AcNpSb2,312659.1433203235
AcNpSn2,361160.2096978411
AcNpTe2,427054.18632496236
AcO3,93175.37802021735
AcOsO3,107406.15381295777
AcPa2O4,203043.58699878864
AcPaAs,211834.52876121967
AcPaAs2,137297.8392314495
AcPaAu2,122061.03488064656
AcPaGe2,126685.52702527432
AcPaIr,104757.88642474687
AcPaO3,149101.793647404
AcPaPb2,187013.70093779438
AcPaPt,169083.001360335
AcPaPt2,127037.69726287252
AcPaSb2,132354.61630740392
AcPaSn2,180411.7837190101
AcPaTe2,128698.12574300304
AcPu2As,1169966.7512690548
AcPu2O4,755690.2597050284
AcPu2Pt,1135328.5747088806
AcPu2Sb,1065557.8121424636
AcPu2Sn,1113333.094539613
AcPu2Te,1023709.6612842422
AcPuAs,670168.6936431904
AcPuAs2,453375.8625170515
AcPuAu2,517267.8158536196
AcPuGa2,527025.1962280095
AcPuGe,711856.3045745146
AcPuGe2,518678.7079901967
AcPuIn2,480036.9027348129
AcPuIr,606647.5828933489
AcPuO3,498647.60443223856
AcPuPb2,449457.8919380136
AcPuPd2,592729.275890919
AcPuPt,668359.8560055837
AcPuRh2,508662.2059399794
AcPuSb2,407357.46234949026
AcPuSi,679765.2332106236
AcPuSi2,534166.3767799225
AcPuSn2,457570.6549569131
AcPuTe,630995.739384911
AcPuTe2,507431.8780644711
AcPuTl2,466714.1787439897
AcPuZn2,579793.8677213643
AcReO3,194972.90356496198
AcRuO3,117703.85836393405
AcS,60853.91652542721
AcTa2O4,152430.5937249015
AcTaAs2,183910.66714681016
AcTaSb2,136440.04671700488
AcTcO3,228427.08025442224
AcTcTe2,174140.6209569529
AcTe2Mo,87984.85619515425
AcTe2Ru,253152.01265006824
AcTeRh,61489.54168626748
AcTi2O4,207605.84737588264
AcTiAs,204333.20858138517
AcTiAs2,140035.36031915326
AcTiAu2,199215.4431335696
AcTiBi2,158001.6357110895
AcTiGa2,121002.57723555798
AcTiGe,247399.5469710135
AcTiGe2,197278.6687559133
AcTiIn2,167588.7094560827
AcTiIr,169124.5854290396
AcTiO3,75265.49926631598
AcTiPb2,201732.69620606027
AcTiPd2,185897.57305546588
AcTiPt,218452.44147471336
AcTiPt2,162226.08750754548
AcTiSb2,149839.79749508656
AcTiSi2,196912.78455074015
AcTiSn2,198423.2880268547
AcTiTe,228318.6135495206
AcTiTe2,84880.47732821325
AcU2O4,440821.1801657124
AcUAs2,258126.27959294445
AcUO3,274949.9034493584
AcUPd2,311568.9489414951
AcUPt,388079.65292985743
AcUSb2,228661.54482225783
AcUSn2,276771.6765743096
AcUTe2,330120.18691606366
AcV2O4,502139.32626442594
AcVAs,488490.5653480567
AcVAs2,216502.00096258902
AcVAu2,371048.32060343144
AcVBi2,208106.3635131946
AcVGa2,359791.10482723056
AcVGe2,302919.9687510782
AcVO3,274605.89178708754
AcVPd2,377172.16602292116
AcVPt,432984.7338853722
AcVSb,483561.3845002675
AcVSb2,193471.78511595473
AcVSn2,271638.8702249569
AcVTe,431668.7337378812
AcVTe2,306744.48315333226
AcZn2O4,95805.80208783728
AcZrAs,91438.06180011283
AcZrAs2,89407.52370872191
AcZrAu2,85250.99577031193
AcZrBi2,106627.15064607249
AcZrGe2,95489.2510572582
AcZrPb2,149854.32172904655
AcZrSb2,95303.66694821042
AcZrSn2,149628.55319922284
Ag(IrO2)2,103458.91555383457
Ag(MoO2)2,308943.4991171982
Ag(OsO2)2,310460.9803033711
Ag(RhO2)2,108118.81569529106
Ag(RuO2)2,322072.41801474127
Ag(WO2)2,290579.761622811
Ag2(MoO4)3,74335.62922317258
Ag2F3,60815.87201750267
Ag2IO6,85906.10665652662
Ag2Ir2O5,85892.26789870068
Ag2Mo2O5,127637.13984251219
Ag2Os2O5,134430.90643754334
Ag2Rh2O5,167867.1227392392
Ag2Ru2O5,132667.75406657503
Ag2W2O5,111849.17205896044
Ag3HSN3O2,137733.7841075091
Ag3IrO4,73943.69861557712
Ag3Ru,222925.670239207
Ag3RuO4,253753.8219742254
Ag3S(NO)3,138056.81884012383
Ag3Te(PO7)2,133046.73358989359
AgBO3,218013.59127601486
AgBi2WO8,52489.816500648376
AgBrO2,157094.2671747882
AgC2N3,84459.70324378418
AgC2S2N4Cl,85826.45609938317
AgCNO,102062.46827024393
AgClO2,75995.77967844023
AgH8O5,75906.76785565013
AgHO2,124207.6512056264
AgIrF7,172386.3264583163
AgMo5P8O33,67617.5360857997
AgMoO3,62028.29665695781
AgO2,144117.993068687
AgP4(RuO7)2,109931.31712743257
AgPbF6,76375.36717978887
AgPtF6,85851.10464924094
AgPtO3,138185.35991063048
AgRh,117784.66743534786
AgRhF6,165985.0511071184
AgRhO3,55024.89277096667
AgRuF7,247908.17328787158
AgRuO3,83363.97298266465
AgS8N9(ClO6)2,99154.22657745267
AgSbWO7,69519.56941032565
AgW2(Br3O)2,92154.57452392082
AgWS4N,129546.764056354
Al(BiO3)3,342818.58381145645
Al(CoO2)2,776951.0753815671
Al(CoO2)3,537165.5835415563
Al(CoS2)2,82512.3074452928
Al(CuO2)2,116080.9040197213
Al(CuO2)3,419169.9852287212
Al(FeB)2,539084.132964669
Al(FeO2)2,1127379.0621691318
Al(FeO2)3,1240478.4744112538
Al(FeS2)2,396709.7838224871
Al(Ni4Pt)3,336777.1108936263
Al(NiO2)2,415823.98835517414
Al(NiPd)2,97196.01454508366
Al(NiPt)2,127691.99060461496
Al(NiS2)2,204113.4451209774
Al(OF)3,509235.4654843434
Al(OsO2)2,136282.90854686906
Al(RuO2)2,124007.90346970064
Al(SiO3)2,56631.483293770434
Al(V4Ge)3,176466.94237882804
Al(V4Si)3,192791.37853491327
Al(V4Sn)3,145545.4157855116
Al(WF5)3,182534.44984623534
Al(WO2)2,224466.64229543143
