composition,Ms
Ba2La2Mn(WO6)2,180321.67429256495
Ba2La2Mn4O11,581287.2424812118
Ba2La2Ni(WO6)2,70446.57177169036
Ba2La3Nd(CuO5)2,66749.10335362054
Ba2La4Mn5SnO18,459928.9406212105
Ba2LaAs,222111.56635932418
Ba2LaBi,201409.3504109658
Ba2LaCoCu2O7,122330.9220080403
Ba2LaCrO6,59966.661272685655
Ba2LaIrO6,118146.66534563772
Ba2LaMn2O7,385680.5687563584
Ba2LaPb,158294.62742978835
Ba2LaPuO6,153671.1285054278
Ba2LaRuO6,177662.60888842773
Ba2LaSb,205210.6924775526
Ba2LaTe,227572.3208699312
Ba2LaUO6,50437.64103072765
Ba2LaWO6,55481.789833410614
Ba2LiEu(CuO2)4,305250.1482888709
Ba2LiHoRuO6,116844.41262065474
Ba2LiLaIrO6,54111.42487827699
Ba2LiScO6,266052.46903426305
Ba2LiSmCoCu2O7,113876.15505167753
Ba2LiTbIrO6,57697.46249782281
Ba2LiY2(Fe2O5)2,584077.158045808
Ba2LiYO6,250020.90772903938
Ba2Lu2O5,58871.875549861266
Ba2LuIrO6,127468.04654811285
Ba2LuMgNbO6,90582.43227979369
Ba2LuMgRuO6,53666.23611192228
Ba2LuMoO6,62179.23491507731
Ba2LuReO6,123237.58071619587
Ba2LuRuO6,196425.61830258893
Ba2LuUO6,57362.922050163535
Ba2MgScO6,196255.63569276713
Ba2NaCe2Ti2FeSi8HO27,96591.44793300654
Ba2NaScO6,240727.34092711826
Ba2NaYO6,222615.9379765884
Ba2Nd2Co4O11,446879.4478656871
Ba2Nd2Fe(CoO4)3,497081.3045806058
Ba2Nd2Fe3CoO12,565786.6959646284
Ba2Nd2Fe4O11,762379.4908570013
Ba2Nd2Mg(Fe2O5)2,387690.4079887487
Ba2Nd2MgCo4O11,349485.3406322977
Ba2NdBi,104529.33235527322
Ba2NdCoCu2O7,130449.01130151888
Ba2NdIrO6,120169.00094571129
Ba2NdMgMoO6,157199.0890729091
Ba2NdMgRuO6,51902.86279452444
Ba2NdPuO6,156609.11605796663
Ba2NdReO6,115939.16704304644
Ba2NdRuO6,180857.19629193586
Ba2NdSb,106347.58261230293
Ba2NdTe,136687.74223584216
Ba2NdUO6,51227.05394974523
Ba2NdWO6,56733.34352828652
Ba2PmBi,77520.84397039317
Ba2PmSb,74837.9775497874
Ba2PmTe,119745.7709189502
Ba2Pr2Co4O11,396196.3207047365
Ba2Pr3(CoO3)5,340386.9663527066
Ba2PrAs,220526.0487847065
Ba2PrBi,178776.10453068643
Ba2PrCoCu2O7,123153.30516512388
Ba2PrIrO6,119655.41873204306
Ba2PrMgRuO6,51462.97769469278
Ba2PrRuO6,178762.35300166951
Ba2PrSb,177450.33868351238
Ba2PrSn,81306.0106056156
Ba2PrTe,156518.64156478862
Ba2PrWO6,56017.09646598931
Ba2PrZrO6,53442.014483869825
Ba2Sc2O5,71400.76075958177
Ba2ScAs,98109.19957063752
Ba2ScBO6,138573.62500053845
Ba2ScBeO6,217839.110738039
Ba2ScBi,90058.83957216474
Ba2ScCdO6,186109.11721088234
Ba2ScCoO6,143939.39876322262
Ba2ScCrO6,90232.92367356323
Ba2ScFeAsO3,238786.166805836
Ba2ScFeO6,214478.33512821025
Ba2ScGaO6,134778.62655506615
Ba2ScInO6,124367.66615025807
Ba2ScIrO6,134529.3919705543
Ba2ScMnO6,169435.21245407424
Ba2ScNiO6,71771.9155417525
Ba2ScOsO6,199638.05784704478
Ba2ScPbO6,60977.03442373076
Ba2ScPdO6,67346.64772375826
Ba2ScPtO6,51440.14842625046
Ba2ScReO6,131887.18113626644
Ba2ScRhO6,136588.01034361424
Ba2ScRuO6,204031.4715485034
Ba2ScSb,88950.00585712962
Ba2ScSnO6,64320.27953060854
Ba2ScTcO6,135813.609151698
Ba2ScTe,130924.545485505
Ba2ScTiO6,67706.02523535622
Ba2ScTlO6,120585.71205386089
Ba2ScUO6,59864.330215523325
Ba2ScZnO6,199924.05184142207
Ba2Sm2Fe4O11,754681.5820613063
Ba2SmBi,60092.53074849233
Ba2SmCoCu2O7,127917.83103061524
Ba2SmCrO6,62306.022442714566
Ba2SmFeO6,186578.30306600267
Ba2SmMgMoO6,153837.78792239403
Ba2SmNb4FeO15,141896.46397826672
Ba2SmSb,53135.34867136581
Ba2SmTe,114181.62125175293
Ba2SmUO6,52373.21618051502
Ba2SmWO6,57799.350671356086
Ba2SrY2Cu2PtO10,70633.50369953412
Ba2Tb2Co4O11,173342.43530456137
Ba2Tb2MgCo4O11,411343.7261088507
Ba2Tb2Mn4O11,623007.6845084449
Ba2Tb2O5,56616.70146913552
Ba2TbCeO6,52986.84986207608
Ba2TbIrO6,125595.83457826491
Ba2TbMoO6,59759.27979531476
Ba2TbPrO6,101300.41866657697
Ba2TbTe,99071.08077525982
Ba2TbWO6,58739.50148947832
Ba2Tm2O5,59368.52126867551
Ba2TmMgNbO6,95529.15848603784
Ba2TmMgRuO6,55429.89707797024
Ba2TmMoO6,61528.95648626733
Ba2TmRuO6,193928.49502450216
Ba2Y2Co3CuO10,382080.5471978354
Ba2Y2Co4O11,473597.7209903869
Ba2Y2Co4O9,376825.84835644206
Ba2Y2Mg(Fe2O5)2,517836.39664940507
Ba2Y2Mn4O11,605846.3495156836
Ba2Y2O5,59069.45058722922
Ba2YAlO6,129424.47400534245
Ba2YBO6,130890.78441429188
Ba2YBi,55203.689319668294
Ba2YCdO6,75844.80216709997
Ba2YCo2F11,225638.56036974554
Ba2YCo3O7,285721.9149658755
Ba2YCo3O8,498629.90581500455
Ba2YCoCu2O7,126278.17210456695
Ba2YCoO6,134302.88388284287
Ba2YCr2F11,290534.21547442296
Ba2YCr3O8,447794.5760376011
Ba2YCrO6,65958.43073431929
Ba2YCu2F11,74530.8295935623
Ba2YFe2F11,298445.5228045109
Ba2YFe3O8,749921.815935988
Ba2YFeO6,200024.5902251896
Ba2YGaO6,124781.69591782801
Ba2YGeO6,64849.7448260256
Ba2YHfO6,59137.20228841498
Ba2YIrO6,126526.34528938017
Ba2YMgCo3O8,390491.7887925075
Ba2YMgFe3O8,350453.98407002375
Ba2YMgMn2TlO7,368370.11226526235
Ba2YMgMn3O8,514693.4736865368
Ba2YMgNbO6,68471.99110968086
Ba2YMgNi3O8,154690.17080549448
Ba2YMgO6,182100.88347477544
Ba2YMgRuO6,54697.45231714487
Ba2YMn2TlO7,374486.12007374165
Ba2YMn3O7,652621.3031341652
Ba2YMn3O8,597571.134180728
Ba2YMnO6,169773.6317878325
Ba2YMo3O8,401195.83783413697
Ba2YMoO6,60720.357141200686
Ba2YNi2F11,154046.13929513417
Ba2YNi3O7,258838.2493022726
Ba2YNiO6,67147.11985811201
Ba2YOsO6,188221.0590114191
Ba2YPbO6,56903.37362682751
Ba2YPdO6,63876.254769921296
Ba2YPtO6,63159.902125742025
Ba2YReO6,125939.48079543357
Ba2YRhO6,127351.97891635791
Ba2YRuO6,189952.66712728585
Ba2YScO6,118529.09902015522
Ba2YSiO6,68714.94117610007
Ba2YSnO6,59210.47806351307
Ba2YTcO6,125602.9422614508
Ba2YTe,105004.90130149109
Ba2YTi2F11,76433.91122238869
Ba2YTiO6,62608.93279117325
Ba2YTlCr2O7,282866.64990138303
Ba2YTlFe2O7,364032.94239086536
Ba2YTlNi2O7,177738.6432168487
Ba2YTlO6,113586.83993097131
Ba2YTlV2O7,175794.65180682015
Ba2YTlW2O7,167778.69981864144
Ba2YUO6,54004.69904678115
Ba2YV2F11,220652.03459752598
Ba2YV3O7,382583.7829447326
Ba2YV3O8,290419.83234934707
Ba2YW3O7,227301.8444981574
Ba2YW3O8,136593.99849424613
Ba2YZnO6,187542.74724360192
Ba2YZrO6,58346.77795886176
Ba2YbMgNbO6,107979.41459102104
Ba2YbMgRuO6,58309.521243035124
Ba2YbMoO6,64072.39553536362
Ba2YbNbO6,61030.092728507014
Ba2YbReO6,52160.76662619226
Ba2YbRuO6,128957.57378170773
Ba2YbTaO6,61265.271023514084
Ba2YbUO6,56979.10073219504
Ba2ZrScO6,62713.75750321555
Ba3Ce,89214.53162439601
Ba3Ce2O6,78024.71512995852
Ba3CeRu2O9,122558.20429791053
Ba3DyIrRuO9,82239.15294276386
Ba3DyRu2O9,128247.19814693078
Ba3DyUFeO9,171811.85645928243
Ba3Er2Cu2PtO10,72665.0056542144
Ba3ErIrRuO9,82905.62616018196
Ba3ErMn2O9,309801.39343300014
Ba3ErRu2O9,129134.65112654153
Ba3Eu,302471.52857393114
Ba3Eu(BO2)9,135281.65594681315
Ba3Eu3(Fe3O8)2,1191217.652464309
Ba3EuRu2O9,167050.95180895863
Ba3Gd(BO2)9,159148.14185697978
Ba3GdIrRuO9,280433.84040237044
Ba3Ho2Cu2PtO10,72169.58339747624
Ba3HoIrRuO9,82631.59834524205
Ba3HoRu2O9,124371.1727011264
Ba3HoUFeO9,141422.90663450435
Ba3La3Mn2(WO6)3,250100.6258854724
Ba3La7Mn(Co3O10)3,454553.9691001561
Ba3La7Mn2(Co4O15)2,446630.11213546596
Ba3La7Ti3Cr7O30,311701.8908318687
Ba3LaIrRuO9,78041.38497527146
Ba3LaRu2O9,121431.95116366069
Ba3LuIrRuO9,84092.04988855212
Ba3LuRu2O9,130816.94917378045
Ba3Nd3(Co3O8)2,480578.8191242464
Ba3Nd3Co6O17,448462.68265277066
Ba3NdIrRuO9,79361.86907304195
Ba3NdRu2O9,123541.91859389833
Ba3PrIrRuO9,78521.37965086928
Ba3PrRu2O9,123146.76728682252
Ba3SmIrRuO9,81102.04219498899
Ba3SmRu2O9,125090.47025870845
Ba3SrEr2(MoO6)2,61472.18779270461
Ba3SrNd2(IrO6)2,118608.1645845266
Ba3SrY8(CuO5)4,73658.83972298192
Ba3TbIrRuO9,81561.84814004043
Ba3TbRu2O9,127415.48740774342
Ba3TmIrRuO9,84572.81472664363
Ba3Y2Cu2PtO10,71735.79192894783
Ba3Y4(CoO5)3,69319.2867150797
Ba3Y5(NiO5)3,124722.6986358937
Ba3YIr2O9,87457.99110897492
Ba3YIrRuO9,82494.23542826966
Ba3YO6,147525.3972623873
Ba3YRu2O9,128106.0101466155
Ba3YRuPtO9,120754.47451475941
Ba3Yb2Y2O9,69000.48699382764
Ba3YbRu2O9,177298.85065537677
Ba4CaNd3(Co4O11)2,478764.48185652954
Ba4Ce(RuO4)3,121227.182938
Ba4Ce2O7,56942.7801532985
Ba4CeMn3O12,266875.7797417305
Ba4Er(RuO4)3,93635.9443560534
Ba4Eu4Zn3PtO15,93556.50814765481
Ba4Ho(RuO4)3,91474.34248996637
Ba4La(RuO4)3,147236.36339408645
Ba4La2SbRuO12,84991.37170915508
Ba4La4Co8O17,407348.8631581063
Ba4La4Co8O23,339559.2966187171
Ba4La6Mn(Co3O10)3,466001.83420871344
Ba4La6Mn5In5O30,218572.91507723363
Ba4La8Mn11SnO36,500325.01930544164
Ba4Nd(RuO4)3,148503.6771337679
Ba4Nd4Co8O23,195206.46301574653
Ba4Nd8Cu3PtO20,51370.547960298165
Ba4NdMn3O12,270177.0492308037
Ba4Pr4Co8O23,394945.99408942
Ba4PrEu(Cu3O7)2,160761.10940443326
Ba4PrGd(Cu3O7)2,176193.4592193212
Ba4PrMn3O12,268421.5215583209
Ba4Sr2Dy2Co4O15,273227.9452909205
Ba4Sr2La2Co4O15,260853.55580492396
Ba4Sr2Nd2Co4O15,265937.40795212495
Ba4Sr2Sm2Co4O15,269737.0363179716
Ba4Tb(RuO4)3,90773.53635539033
Ba4Y2FeCu5O14,86447.38271898632
Ba5Er8Ni4O21,138328.2328988287
Ba5Gd2ZrAl2O13,318976.1440393036
