#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,,
#A / m,J / m,J / m3,A / m,A / m,J / m3,rad,,
Ms (A/m),A (J/m),K (J/m^3),Hc (A/m),Mr (A/m),BHmax (J/m^3),relative_angle,calculator,file_path
5656897.668411041,6.031984918427652e-10,9719306.0541913,911905.0486815578,2096417.851514704,267322.9123197271,1.185195163070467,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1576
7850897.87382444,5.573662289872893e-10,1222678.8719274662,100421.77021258176,543005.6109478452,7829.404679835659,0.8891181028124996,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1580
6571204.131324282,3.0988562733063716e-10,5381659.107546682,168609.3146181427,585195.1216927675,14594.711073428163,1.2966462765359177,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_358
4752460.397378412,4.851371322764013e-10,3549271.8859053287,387320.333423511,1705488.9604288726,116806.42482932782,1.213257417500164,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_749
5818032.814858207,1.885258912762778e-10,7246391.577261865,505801.01571450825,4515241.879455041,1147827.476859225,0.643184562963329,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1370
3342359.8844165285,2.150131382031276e-10,9123813.115561591,1952785.773173212,1829082.8636148253,335257.8542857833,0.990783456281441,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1928
3306153.853949287,4.362523942947159e-10,4451137.801044177,821316.265435972,1414084.836712521,146181.485359855,1.1273454113022892,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1065
7903958.565733891,7.166606371552848e-10,5302454.35166465,285438.81056784873,1306526.293348594,69104.27559978,1.3214623257794798,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1889
3399383.009927025,8.649955969556611e-10,6711457.860874089,1277094.4870643031,1563191.266859715,211474.2383862192,1.092782140128611,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_352
4531798.635491422,2.1220925922072477e-10,5680951.016826183,774611.368048795,2849036.7279662527,518383.8621500053,0.8759893802120975,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1766
5448179.39694758,8.395336752426443e-10,6432455.364801724,688747.0113136747,2231144.3629038613,250432.67156580745,1.1447144821868318,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_411
7848290.3109884225,9.906356784802455e-10,1303676.12318541,308462.095461598,1837593.4708881464,85702.20747162278,1.279044527377005,mumax3_MinDriver,mumax_mindrive_data/data/output_164794_220
1401208.473656538,3.0619892399854273e-10,8761143.956482947,6906007.045629034,1385297.9788869142,267323.723051423,0.15043670472578796,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_361
4465752.163149497,6.244252419396009e-11,3655303.877410432,82367.95209531912,2214986.628312864,109262.5129172758,0.9730358157573211,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_885
7194014.034023952,7.898768306938195e-10,912549.1113205464,256821.62895206545,1359150.4420004997,54690.53598132624,0.48777493203396766,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_501
5706613.552066322,7.287048549398105e-11,9538606.718700515,330009.616876808,5038460.664499759,1178184.2676974293,0.44862506027516524,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_296
6449649.368294077,6.128584104790332e-10,2819616.5488481903,260429.06463101544,1280196.347850056,57917.74408467813,1.1298256486195832,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1054
4883870.466597371,9.432770323010534e-10,5400938.933685076,546286.747260562,1694035.8702288943,142280.06904126477,1.2169217215799573,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_994
5481939.937239924,3.625198912472525e-11,9547683.58258281,441982.5548762556,2137038.2683380847,286771.21090115746,1.1553830496456536,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1479
2094098.7597153569,7.086845045762818e-10,5556875.477024753,1921705.1051584063,1136766.4091092846,144606.7228804339,0.9971229116280077,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1674
1671851.3767573363,6.781967259596158e-10,9491136.113075072,4533179.735060007,1279131.3732065132,216766.5855896877,0.6994997906763752,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1744
4331539.969521972,2.1727230451593558e-10,8979272.854492933,1351072.5795457128,2065247.5415320816,341684.5187516613,1.0676308901969915,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_126
1171813.5363465536,2.6140680092479247e-10,7723526.922526192,3029972.39430313,355223.9531290002,16493.70162545072,1.262845566509982,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_271
2404201.8166519618,1.0325293560551619e-10,1112907.4295658048,102349.46994967212,342866.202752342,5114.18326267265,1.4346373888677184,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1595
5860465.910393285,7.32088882764535e-10,3153440.2065504296,286457.8767955984,1912224.6180620084,106646.21143962424,1.2300806606656547,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_249
3169908.082393181,3.7181708226177255e-10,449578.09880951216,114850.31351617943,2868525.799284636,198578.64991990328,0.4108782868396496,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1059
5116704.473055887,8.526231854496612e-10,5987707.639981126,398405.7622113843,1119183.538878956,62741.210521404646,1.3438183719705463,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1317
6749124.812791072,3.1322735109697937e-10,461801.968649701,45572.43155696695,358896.9036467421,1348.004758248934,1.5312546750489142,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1728
5976100.0722522745,7.061095519834296e-10,3325702.537307458,275862.6700974608,3210023.2772171376,278280.2143020417,0.981371904807344,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_947
4827705.565676845,7.526732370955432e-10,3591191.0090885125,553319.38861489,3492019.562253965,538246.4361933304,0.7597378306251403,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_860
1994898.8596918837,4.956591206003064e-10,7231845.814648869,1842181.031369071,677669.0472094128,53081.293038592026,1.224023413157313,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1098
1225918.291411008,2.0279858594195944e-10,1136419.586240931,208178.1832719692,174923.54550758412,2757.3904915847606,1.426525594830743,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1429
5125192.879890546,9.402466613585955e-10,8390859.045609456,1233336.7680147225,3004642.513645296,623023.4922405899,0.9370948204956134,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1261
7301169.082931123,1.9169755785942574e-10,349311.2426709277,106378.71021372906,420925.9112263512,6970.600091993677,1.2385610771516824,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1630
1471590.1910453308,1.817888932155016e-11,2673424.79400283,1250597.3842300002,742107.745693046,60688.3772039627,1.0411619252984534,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_903
3330010.283819749,6.486581518390792e-10,623295.9957996064,145546.45436475595,2644291.1436823644,162323.04214082766,0.661876982225871,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1556
3617771.5201277663,9.028327995116464e-10,9974136.862420095,912880.641721738,772073.7497076059,54290.50491953324,1.355210075487965,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_182
6516065.176870653,9.23094343096107e-10,929839.0063039974,208629.580549503,2535880.9007729283,157759.81386125172,1.306116640384616,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_705
1975993.7664466,6.482233922453651e-10,2339071.9125226755,603819.2237449783,676233.092422511,38850.455239252144,1.2219790023452397,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_403
6978525.383157009,3.630795498896651e-10,446171.9826215527,75372.36363841989,585424.987772944,10862.31145184933,1.1061551851827263,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_92
2769794.851275239,3.3946238246919005e-10,3469390.156868012,1208020.5184165298,2670476.615436274,884249.2967082806,0.25808750418197013,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_733
2195728.8614036487,3.39423344441122e-10,2038756.3901459812,1246536.8134377208,2190266.0141201154,665826.1512458964,0.03628246673872667,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1327
3822176.317981178,1.010199027126177e-11,9774326.26901971,176076.67777179478,177221.33465637852,2636.653176550696,1.552462386904726,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_958
3599538.608118757,6.202999678746242e-10,818576.7245739994,150098.63848560676,2191745.592041145,87561.28113879212,0.9517599656226426,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1146
2559375.1983990585,4.719045814189496e-10,8225165.3169125,2569590.1648687217,2046696.262573916,513311.9552073784,0.6434034106464396,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1497
7652753.386895966,2.4712928409241616e-10,3655237.880234635,49546.44701466928,197994.604045353,1489.1977705137783,0.5981659876487647,mumax3_MinDriver,mumax_mindrive_data/data/output_164794_168
