Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3519456003180162,0.008502546908294249,0.9995856924080571,0.00043728883797287894,0.999586914554346,0.06649269824462703
random_forest,test,-0.3530326588923979,0.028257430374560247,0.9932196493100831,0.008326396476173116,0.9932997321922474,0.24233803291905157
neural_network,train,-0.3518416996717716,0.08523175534827371,0.9883483028952877,0.012298005603609954,0.9883826736832072,0.6249108350709358
neural_network,test,-0.35292729269134365,0.10344086410052042,0.9787854864940169,0.026051816281807576,0.9790360516141663,0.7996645848163026
linear_regression,train,-0.35192371169424147,0.02881104326648635,0.9985836768585395,0.0014948852320541494,0.9985878548029097,0.20729392857647883
linear_regression,test,-0.35300818669838113,0.0305732592937466,0.9984609926756159,0.001889929555061486,0.9984791699274788,0.22101362990024523
lasso,train,-0.35192133535917836,0.03177567359997175,0.9984574537043558,0.0016281098639259156,0.9984620039884138,0.22908908934712938
lasso,test,-0.3530048445120477,0.033353452406331856,0.998319409493955,0.002063796329625286,0.9983392589881209,0.24288295811616475
gaussian_process,train,-0.3519464599096695,1.4276616472682257e-06,0.9999999999869964,1.3724810824733374e-11,0.9999999999870348,9.951877977553676e-06
gaussian_process,test,-0.3530372878270833,0.011561246444604429,0.9904320018467109,0.011749679294029598,0.9905450096989151,0.12343200112377407
