Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3545763831628025,0.1001727800358765,0.9669508243161054,0.021643042677686686,0.9675109798361714,0.9283636287556738
random_forest,test,-0.3585416702388935,0.27658268274941217,0.838453583004759,0.15665953912385946,0.8494681114362527,2.6423058500662004
neural_network,train,-0.3511735330365304,0.34875932942576293,0.6658688140398052,0.21881379393092215,0.6715320544798086,3.281186111197992
neural_network,test,-0.3566528707191884,0.39572867704652687,0.6778096292333702,0.31244391508808605,0.6997771545129131,3.8695725075079928
linear_regression,train,-0.351126914011976,0.3867511719686651,0.6266838220231166,0.24447502259979007,0.6330112148701823,3.5952040932048783
linear_regression,test,-0.3585097661867438,0.42824695807218455,0.7095301757934478,0.28168293445299664,0.7293349365348036,4.091806994658585
lasso,train,-0.35111858814046054,0.3884512951391158,0.6260855600555765,0.2448668087496097,0.6324230929359904,3.609114711277608
lasso,test,-0.358479539755975,0.4308414472990534,0.7067588708512009,0.28437040572657407,0.7267525842022554,4.113651748697123
gaussian_process,train,-0.35483085217105415,2.0594451620413846e-06,0.9999999999730432,1.7653327406017842e-11,0.9999999999735001,1.87472132202672e-05
gaussian_process,test,-0.3587196593916259,0.24512427276344076,0.8564044652217365,0.13925168206775881,0.866195069865709,2.3586894265957454
