Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3424375936483727,0.004422571937815858,0.9995846044185299,0.00011184206451522926,0.9995858297742275,0.03159431489377313
random_forest,test,-0.34271631844643546,0.04190495111749099,0.8051203664229103,0.0708335610116119,0.8074220943785452,0.3308190796241849
neural_network,train,-0.34217982386929263,0.09256683049128218,0.9489730925490306,0.013738602261842158,0.9491236143999184,0.6418193460113018
neural_network,test,-0.3427513246099279,0.12709634806137343,0.7775766903301204,0.08084495432753233,0.7802037372947254,0.9237031599369003
linear_regression,train,-0.3424352416661235,0.006925445739440497,0.9996498402701604,9.427781334787511e-05,0.9996508731897173,0.04789952580639318
linear_regression,test,-0.34257171167664796,0.03525257232283436,0.8007658028867518,0.0724163289810283,0.803118962695176,0.27904153662077524
lasso,train,-0.34243356478721465,0.011872390733719021,0.9991556733665037,0.00022732845034419854,0.9991581640055406,0.0826817799594484
lasso,test,-0.3425522683649134,0.040774139248877996,0.7998921929003142,0.07273386296412768,0.8022556709369246,0.31847167928492137
gaussian_process,train,-0.34243804986013665,8.242400002287175e-07,0.9999999999821724,4.799933698811466e-12,0.999999999982225,5.5841910136762645e-06
gaussian_process,test,-0.34269464021425206,0.033660935730950046,0.8024133534389063,0.07181748819703437,0.8047470539888405,0.2740923143984359
