Model,Split,gini,mae,adj_r2,mse,r2,mape
random_forest,train,-0.3497175885745296,0.017775368974842203,0.9983299329956172,0.0020630980380748776,0.9983348594469575,0.1364128063644402
random_forest,test,-0.3506773030762984,0.06404516051634591,0.9155095662226771,0.05307855754170648,0.9165074847318581,0.5221346732474725
neural_network,train,-0.34954938702480726,0.10220057863439463,0.9705230909804972,0.020260119459538418,0.970610043514478,0.7407673639499053
neural_network,test,-0.3505979011010533,0.12810169693075726,0.906069009349559,0.055288842840084666,0.9071784304989737,0.9661889272396841
linear_regression,train,-0.34965818909103713,0.09107968311578135,0.969361725700431,0.04107125223253446,0.9694521040906953,0.6761158567367893
linear_regression,test,-0.3505625144334031,0.10033266018245977,0.9070290521790537,0.06502435612518558,0.9081271342399311,0.7592875238931861
lasso,train,-0.3496565851210165,0.09324176416623732,0.9690194806843173,0.04134275221359838,0.9691108686469004,0.6930706802521368
lasso,test,-0.35055384566576225,0.10347623523580968,0.9063378823654514,0.06573337466323785,0.907444127849324,0.7845480462520218
gaussian_process,train,-0.3497216934649665,1.6166172578016043e-05,0.9999999932570762,9.08959687169086e-09,0.9999999932769669,0.00012693740536839752
gaussian_process,test,-0.35068888013133553,0.034642590979421885,0.9212677718847173,0.04281746074441715,0.9221976800908034,0.3030603876327685
