#mammos csv v2
#----------------------------------------
# Micromagnetic hysteresis simulations of a 50 nm single-grain cube with randomly sampled Ms, A, and K1. Applied field and anisotropy axis aligned with the cube edge. Source: https://github.com/MaMMoS-project/BSW_data_generation
#----------------------------------------
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,DemagnetizingFactor,CoercivityHcExternal,Remanence,MaximumEnergyProduct,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_0f2b5cc9-d00a-5030-8448-99ba6b7dfd1e,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,
#A / m,J / m,J / m3,,A / m,A / m,N / m2,
Ms,A,K1,D,Hc,Mr,BHmax,filepath
3067036.410170976,8.438745273264923e-12,5675844.780360899,0.3333333333333333,1199601.3971166913,3041986.392923244,2884143.309802217,data/346982_0_0/parameters.yaml
2970993.8908006456,7.627636333092164e-12,3044310.1338085285,0.3333333333333333,419724.57978836534,2894615.0279873647,2500391.9360187696,data/346982_0_1/parameters.yaml
679871.2942858334,3.3328483720669966e-12,2040252.9541699644,0.3333333333333333,3941062.654426917,679658.7728592122,145112.8145536963,data/346982_0_2/parameters.yaml
2373692.8426502887,6.120197414556832e-12,3159147.3952635583,0.3333333333333333,861393.2651242311,2351641.305852935,1720225.0998643506,data/346982_0_3/parameters.yaml
1528378.7766969353,4.2903452905075196e-12,3911766.0896887686,0.3333333333333333,2719547.5226446446,1526488.7414301892,731803.4118404407,data/346982_1000_0/parameters.yaml
984878.6620222521,5.425290889021441e-12,2370719.7715507247,0.3333333333333333,2942364.068658009,984234.5408631586,304295.9481452804,data/346982_1000_1/parameters.yaml
1024281.5936471574,5.623462907532326e-12,5223368.750047048,0.3333333333333333,6694444.384627343,1023993.9745038864,329407.81879309955,data/346982_1000_2/parameters.yaml
195743.26296859316,9.607347864913257e-12,5093869.000838439,0.3333333333333333,,,,data/346982_1000_3/parameters.yaml
1553771.6820538898,9.966092530160868e-12,613397.4062415791,0.3333333333333333,192863.9624809686,1508752.5046411306,679226.9580078092,data/346982_100_0/parameters.yaml
2025837.2770486851,3.4724302722744917e-12,2826256.3579575,0.3333333333333333,968831.1410861961,2012990.2017454186,1266575.316095522,data/346982_100_1/parameters.yaml
1574667.8846636484,6.963078480999992e-12,5228747.063061446,0.3333333333333333,3805780.8266899874,1573346.0266028636,777540.2449328467,data/346982_100_2/parameters.yaml
2129923.0837304424,4.182920054060038e-12,4004551.1478247014,0.3333333333333333,1509962.8221749729,2121513.03105132,1410816.9236705403,data/346982_100_3/parameters.yaml
249052.0110284469,7.1425442469429335e-12,4898384.275635758,0.3333333333333333,,,,data/346982_101_0/parameters.yaml
1821153.5476317988,5.507514487688281e-12,2505799.613369761,0.3333333333333333,1120026.7002975536,1811860.2511945786,1027800.7066941737,data/346982_101_1/parameters.yaml
3001343.8558208286,6.622580209046643e-12,3691185.8553317073,0.3333333333333333,551036.3882894766,2946420.8228026154,2639141.233262026,data/346982_101_2/parameters.yaml
2363854.954629752,4.4118210827023225e-12,929674.6848366105,0.3333333333333333,24073.158473503623,118438.52624443403,1178979.5746876094,data/346982_101_3/parameters.yaml
2294448.3601621804,9.647620875676528e-12,383926.5521635626,0.3333333333333333,31698.190831741977,139424.8168365426,785734.9498652417,data/346982_102_0/parameters.yaml
2834021.898790071,8.836497255424128e-12,5475891.825801746,0.3333333333333333,1402525.454897979,2815983.8550981106,2478616.500835526,data/346982_102_1/parameters.yaml
482688.67646996246,4.991823368848277e-12,2304128.971665604,0.3333333333333333,6686480.346035557,482599.7002564194,73166.9789365589,data/346982_102_2/parameters.yaml
737418.6088698838,6.860061925182273e-12,3510180.914531853,0.3333333333333333,6503455.042819752,737250.9574360906,170754.96748341402,data/346982_102_3/parameters.yaml
561835.9343162565,3.978543888013895e-12,537979.4533642106,0.3333333333333333,1199610.402882017,561243.7750843772,98928.47882420698,data/346982_103_0/parameters.yaml
1477349.9784473171,8.698560596052412e-12,589141.9572400928,0.3333333333333333,212736.11357782388,1437773.5254924262,619536.4051996452,data/346982_103_1/parameters.yaml
396592.83559389616,4.454672617054221e-12,1862252.8276742224,0.3333333333333333,6630774.023905461,396523.6042057172,49392.21680313364,data/346982_103_2/parameters.yaml
2890082.7937973016,5.371298021354571e-12,2963404.416398971,0.3333333333333333,360050.963642284,2816706.084996438,2366041.337464507,data/346982_103_3/parameters.yaml
901085.376032592,9.547869601518636e-12,1333684.5245331647,0.3333333333333333,1836229.7230415528,900071.4657561076,254434.09407943676,data/346982_104_0/parameters.yaml
870981.3057433983,6.353588572211755e-12,5447395.028512855,0.3333333333333333,,,,data/346982_104_1/parameters.yaml
1380535.4624130293,6.740732501364382e-12,4218923.26219104,0.3333333333333333,3582963.4965982204,1379468.9499965794,597732.8866268999,data/346982_104_2/parameters.yaml
1910934.9999903156,6.86573544058755e-12,1537224.7575974585,0.3333333333333333,527148.9228904102,1882090.9536672698,1088426.4845546945,data/346982_104_3/parameters.yaml
930912.2573636445,8.322311156500977e-12,721897.5467536863,0.3333333333333333,877308.101451375,927707.1873565613,269896.693284126,data/346982_105_0/parameters.yaml
1199996.731149599,1.9548674413984455e-12,1028604.7696475888,0.3333333333333333,658477.1800281624,1193100.7668314015,445315.85471064417,data/346982_105_1/parameters.yaml
1586033.3341327216,7.14985519549919e-12,3641495.6858374113,0.3333333333333333,2437044.548865317,1583568.3567657922,787437.4020827406,data/346982_105_2/parameters.yaml
291126.81502456515,4.621743727065627e-12,2965487.0934888963,0.3333333333333333,,,,data/346982_105_3/parameters.yaml
676453.4399480683,9.69170178635034e-12,6052051.88403162,0.3333333333333333,,,,data/346982_106_0/parameters.yaml
2358478.470846215,7.661665820819606e-12,103019.0794648671,0.3333333333333333,34216.52483828292,129602.53236552965,525641.166203058,data/346982_106_1/parameters.yaml
1604542.3729809693,7.540420652658e-12,7291960.291775468,0.3333333333333333,5480888.183065089,1603672.6535252344,807877.042961804,data/346982_106_2/parameters.yaml
3032705.9095269497,8.861699169558005e-12,4330879.663898876,0.3333333333333333,797726.4757274691,2992377.6341146617,2760368.816281848,data/346982_106_3/parameters.yaml
1519735.13348783,7.572918478812805e-12,3899699.7026159572,0.3333333333333333,2850848.5174748115,1517922.6034104964,723622.3825655228,data/346982_107_0/parameters.yaml
1286937.213347946,7.81847662814985e-12,3513285.7481858423,0.3333333333333333,3236800.2920472976,1285888.817286175,519378.9088094706,data/346982_107_1/parameters.yaml
950613.8552679593,7.625335850386585e-12,2488867.5616401816,0.3333333333333333,3324334.793340629,950098.7017479319,283563.03598737944,data/346982_107_2/parameters.yaml
743551.9386389079,6.819258598022672e-12,2754061.842032009,0.3333333333333333,4991483.352010681,743346.8563854075,173588.84973470637,data/346982_107_3/parameters.yaml
2555143.7824682435,6.5858618505486096e-12,4601294.025380762,0.3333333333333333,1307034.6587738513,2539794.5194630753,2017221.204676195,data/346982_108_0/parameters.yaml
1169078.449964075,7.14145755270938e-12,3667369.8056076905,0.3333333333333333,3865463.4805365824,1168407.154020553,428843.04300743,data/346982_108_1/parameters.yaml
