#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
BiFe0.9Mn0.1O3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiFe13Nd6,,,,,,510.0,510.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
BiFe2O4.5,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiFe5O12Y2,,,,,,591.0,591.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
BiFeMnO5,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiFeO3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiFeO3 (Bismuth Ferrite),,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiFeO3/Co,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiFeO3/La0.67Sr0.33MnO3,,,,,,351.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
BiGdO3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
BiMn,720.0,720.0,,,,704.0,704.0,,,,-16.0,Tc_sim available in: Nemad,"Tc_exp available in: Nemad, DS1DS2",False,True,True,exp-sim
BiMn0.95Fe0.05O3,,,,,,109.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
BiMn1.08,470.0,470.0,,,,473.0,,,,,3.0,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,True,True,exp-sim
BiMn2O5,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiMnO2.93,,,,,,37.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
BiMnO3,102.5,102.5,,,,102.5,102.5,,,,0.0,Tc_sim available in: Nemad,"Tc_exp available in: Nemad, DS1DS2",False,True,True,exp-sim
BiNbFe0.1Mn1.9O7-δ,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiNi0.125Fe0.875O3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiNi0.25Fe0.75O3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiNi0.5Fe0.5O3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiNiO3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiNiPO5,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
BiPbSr2FeO6+z,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiSbFe0.1Mn1.9O7-δ,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiTaFe0.1Mn1.9O7-δ,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
BiTb0.75Fe0.25O3,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
Bk1,,,,,,0.0,0.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Bk1N1,,,,,,87.0,87.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Br1,,,,,,0.0,0.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Br1Cr10Cu5Se19,,,,,,400.0,400.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Br2Cl2CrRb2,,,,,,57.0,57.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,False,exp-sim
Br3Cr,,,,,,37.0,37.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Br3Gd1,,,,,,1.66,1.66,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
Br4C14CrH20N2,,,,,,52.0,52.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
Br4Cr10Cu5Se16,,,,,,300.0,300.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
BrCl3CrRb2,,,,,,55.0,55.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,False,exp-sim
BrCr2CuS3,,,,,,264.0,264.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
BrCr2CuSe3,,,,,,354.0,354.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
BrCr2CuTe3,,,,,,290.0,290.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
BrCu4FH6O6,,,,,,15.4,15.4,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C-adsorbed SiC,441.0,441.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
C-doped ZnO,,,,,,773.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
C-doped ZnS,,,,,,300.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
C0.004%Au,,,,,,210.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
C0.07Cr0.10P0.13Fe0.70,,,,,,360.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
C0.09Ni0.91,,,,,,164.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
C0.117%Co,,,,,,350.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
C0.15Ni0.85,,,,,,11.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
C0.25Mn4N0.75,,,,,,850.0,850.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C0.303Mn4N0.697,,,,,,848.0,848.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C0.33Dy,,,,,,216.0,216.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.33Gd,,,,,,350.0,350.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.33Ho,,,,,,139.0,139.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.5CeFe10Si,,,,,,390.0,390.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.5Co10NdSi,,,,,,950.0,950.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.5Co10SiSm,,,,,,650.0,650.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.5Fe10GdSi,,,,,,460.0,460.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.5Fe2MnN0.5Zn,,,,,,302.0,302.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C0.6Co9Si2Sm,,,,,,304.0,304.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.78GaMn3,,,,,,295.0,295.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C0.8Co9NdSi2,,,,,,310.0,310.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.9Co9Si2Sm,,,,,,298.0,298.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C0.9Co9Si2Y,,,,,,250.0,250.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1,,,,,,0.0,0.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C1.1Fe17NSm2,,,,,,471.0,471.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1.1Fe17Sm2,,,,,,207.0,207.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1.6Co9NdSi2,,,,,,26.0,26.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C10Ce20Fe137Mn3,,,,,,480.0,480.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C10Fe137Mn3Nd20,,,,,,506.0,506.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C10Fe137Mn3Pr20,,,,,,412.0,412.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C10H10Cl4N2Re,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
C11Mn250Si150,,,,,,156.0,156.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C12Er10Fe85,,,,,,708.0,708.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C12H14CoN2O11P2V,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C12H14N2NiO11P2V,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C12H22FeO14,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C13Cl12,,,,,,470.0,470.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C13Fe85Sm10,,,,,,673.0,673.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C13H16N3O4,,,,,,0.65,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,True,exp-sim
C13H23O2NO,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C13H23O2NO2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C14Cl4CrH20N2,,,,,,37.0,37.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C14Fe85Y10,,,,,,722.0,722.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C16Cl4CuH24N2,,,,,,9.439,9.439,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C16H19N3O11SNi2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C18O9P3H15Cr2·2H2O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
C19Np20,,,,,,190.0,190.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C1Ce1I3,,,,,,0.345,0.345,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Dy1,,,,,,165.0,165.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Er1,,,,,,50.0,50.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe11Mn3Pr2,,,,,,230.0,230.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe12Mn2Nd2,,,,,,354.0,354.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe12Mn2Pr2,,,,,,305.0,305.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe13Mn1Nd2,,,,,,451.0,451.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe20Nd2Si2,,,,,,410.0,410.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe20Pr2Si2,,,,,,430.0,430.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe20Si2Sm2,,,,,,460.0,460.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe34Y4,,,,,,427.0,427.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe68Y8,,,,,,365.0,365.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Fe8Mn6Pr2,,,,,,85.0,85.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Gd1,,,,,,343.0,343.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Gd1Mn3,,,,,,150.0,150.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Ho2,,,,,,97.5,97.5,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Lu1O2,,,,,,2.0,2.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Lu1O3,,,,,,362.0,362.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Np1,,,,,,210.0,210.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C1Sm1,,,,,,30.0,30.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C1Tb2,,,,,,266.0,266.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C20Cl4CuH48N2,,,,,,7.92,7.92,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C23.8HoCl3.7,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
C26Fe170H10N1Sm20,,,,,,678.0,678.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C26Fe170H11Sm20,,,,,,674.0,674.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C26Fe170N1Sm20,,,,,,678.0,678.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C26H18CoN2O9,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C27Dy20Fe170,,,,,,733.0,733.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C27Fe170Pr20,,,,,,735.0,735.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C27H27N4O3Cl3Dy,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
C2Ce2Fe17,,,,,,589.0,589.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Cl4CuH12N2,,,,,,8.895,8.895,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C2CoDy,,,,,,9.5,9.5,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2CoHo,,,,,,9.0,9.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2CoTb,,,,,,27.0,27.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Dy2Fe17,,,,,,683.0,683.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Er2Fe17,,,,,,675.0,675.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Eu,,,,,,22.0,22.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe11Ga6Y2,,,,,,204.0,204.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe12Ga5Y2,,,,,,368.0,368.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe13Ga4Y2,,,,,,485.0,485.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe14Ga3Y2,,,,,,569.5,569.5,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe15Ga2Y2,,,,,,611.5,611.5,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe16GaY2,,,,,,622.0,622.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Gd2,,,,,,712.0,712.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Nd2,,,,,,658.0,658.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Pr2,,,,,,654.0,654.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Sm2,,,,,,680.0,680.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Tb2,,,,,,680.0,680.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe17Y2,,,,,,645.0,645.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe25Mn3Nd4,,,,,,401.0,401.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe27Mn1Nd4,,,,,,491.0,491.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2Fe5,,,,,,521.0,521.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C2La0.85NiSm0.15,,,,,,5.0,5.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2NiSm,,,,,,17.7,17.7,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C2RhU2,,,,,,13.0,13.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,False,exp-sim
C30H28Co2N4O12,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C30H28Ni2N4O12,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H16CoN8,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H16N8Co,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H16N8Cu,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H16N8VO,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H2Fe2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C32H2Fe2O2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C34H50O2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C39H47GdN9O6,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
C3Ce2Fe17,,,,,,588.0,588.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Ce2Ni5,,,,,,2.3,2.3,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Dy10Fe100Si20,,,,,,10.2,10.2,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Dy2Fe17,,,,,,674.0,674.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Er10Fe100Si20,,,,,,585.0,585.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Er2Fe17,,,,,,663.0,663.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe100Gd10Si20,,,,,,642.0,642.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe100Si20Y10,,,,,,580.0,580.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Gd2,,,,,,710.0,710.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Ho2,,,,,,671.0,671.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Lu2,,,,,,658.0,658.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Nd2,,,,,,658.0,658.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Pr2,,,,,,653.0,653.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Sm2,,,,,,669.0,669.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Tb2,,,,,,679.0,679.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Tm2,,,,,,656.0,656.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe17Y2,,,,,,660.0,660.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe32P5,,,,,,586.0,586.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C3Fe34Tb4,,,,,,540.0,540.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe34Y4,,,,,,550.0,550.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe68Y8,,,,,,461.0,461.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe7,,,,,,523.0,523.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C3Fe85Tm10,,,,,,460.0,460.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3Fe85Y10,,,,,,470.0,470.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C3H5NN,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C3Np2,,,,,,109.0,109.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C44H56Co2N10O15,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C46H40Co2N12O11,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C4F0.6H6.3K2N4O3Pt,,,,,,770.0,770.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C4Fe55Sm5Ti5,,,,,,698.0,698.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C4H16N10O6S4Zn,,,,,,173.0,173.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C51H65Mn2N11O16,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C5Ce4Fe34,,,,,,608.0,608.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Dy1Fe70Nd9,,,,,,535.0,535.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Dy2Fe70Nd8,,,,,,537.0,537.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Dy4Fe34,,,,,,681.0,681.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Dy4Fe70Nd6,,,,,,540.0,540.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Er4Fe34,,,,,,671.0,671.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe170H8N24Sm20,,,,,,752.0,752.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe170N24Sm20,,,,,,752.0,752.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe34Gd4,,,,,,763.0,763.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe34Nd4,,,,,,662.0,662.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe34Pr4,,,,,,690.0,690.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe34Sm4,,,,,,719.5,719.5,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe34Y4,,,,,,678.0,678.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe70Lu1Nd9,,,,,,530.0,530.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5Fe85H11Y10,,,,,,566.0,566.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,True,False,True,exp-sim
C5FeH4N6O3Sr,,,,,,29.0,29.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C6Fe21Mo2,,,,,,492.0,492.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C6Fe21W2,,,,,,1006.0,1006.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C6Fe85Th10,,,,,,462.0,462.0,,,,,Tc_sim not available in any source,Tc_exp available in: DS1DS2,False,False,True,exp-sim
C7H3S2N2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,True,exp-sim
C7H7DyO8S,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
C7H7NdO8S,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
C7H7PrO8S,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,True,exp-sim
