#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(Co0.2Cu0.2Mg0.2Ni0.2Zn0.2)O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Co0.2Fe0.8)72.5Si12.5B15,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)68Cr10Si8B14,,,,,,585.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)74Cr4Si8B14,,,,,,729.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.5Fe0.5)78-xCrxSi8B14,,,,,,825.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.6Fe0.4)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.7Fe0.3)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.8Fe0.2)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co0.9757Fe0.03)4Nb2O9,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Co0.9Fe0.1)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co1Fe0)73.5Nb3Cu1Si13.5B9,,,,,,773.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co94Fe6)72.75Si12.25B10Cr5,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co94Fe6)72.75Si12.25B11.25Cr3.75,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co94Fe6)72.75Si12.25B12.75Cr2.25,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Co94Fe6)72.75Si12.25B15Cr0,,,,,,730.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Cu/Co)60/Fe,,,,,,1250.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(CuCl)LaNb2O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(CuZr)91Al7Gd2,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(CuZr)92Al7Gd1,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,True,False,False,exp-sim
(DAE)CuCl4,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Dy0.25Er0.75)Al2,24.0,24.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,True,False,False,exp-sim
(DyHo)Al2,46.0,46.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,True,False,False,exp-sim
