#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,,,,,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,,,,,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,
#A / m,J / m,J / m3,rad,rad,rad,rad,A / m,A / m,J / m3,,
Ms,A,K1,k1_theta,k1_phi,h_theta,h_phi,Hc,Mr,BHmax,calculator,file_path
6369095.238317108,6.91520139255339e-10,1250070.213307417,0.8010884632077376,1.0799479262739755,0.9511380909918229,-2.8999628086237346,242770.88434432304,1496273.9997397268,55795.72189621852,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_186
7508412.032807235,6.639664616316614e-10,734826.0310952337,2.144085312311857,2.284805422110287,0.8880049914635403,0.37616256134246073,159113.47990396648,905018.023448487,19129.603357811644,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1688
1508967.8801355788,3.365501448428717e-10,9418408.158169718,1.5423630120055485,-2.396250074769844,0.3967703023503729,0.4707286453618489,3221281.310338821,521487.37902745255,34838.51048706207,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_867
6475838.282227868,9.188104056715059e-10,545982.1219464734,1.03364124994778,-2.5155572508003528,1.65268974683184,-1.8589824588604524,145117.13795813572,2631303.920682795,128853.09250052035,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1086
7259253.465690425,3.189276982945038e-10,5170088.963857281,0.06901009747698687,2.587972844225567,1.651134255024372,-0.6697182331050557,87468.1848752307,325348.382323003,4171.165411871487,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1661
4777497.847500811,3.1056809418901547e-10,7010920.663887205,2.771242124697859,-1.9621940818281662,1.3906959247129096,-1.608994892510533,365164.2424319812,758865.3403134908,34274.20880882841,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1649
3764906.6340403096,6.034844412508758e-11,3403370.529663221,0.4905375917845992,0.6949487349650566,1.4188215785429077,3.107062869784575,152897.21276281233,359935.9611741586,7150.884791127787,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1333
4817015.096038826,8.541876955578517e-10,6673347.607773652,1.3700858956425905,-1.3320157373454546,0.8825558033770349,2.4409375875258084,935377.7955747203,2321930.7359296395,336875.66110162286,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1175
5960072.78606341,2.0815606238919504e-10,4728834.109344562,0.415198600782112,2.7775479919782295,1.5772287918756611,0.6783376695886548,84175.71056139404,273837.4491113387,3306.566087845648,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_26
4862197.269586938,7.29769791264506e-11,8118064.844546521,2.289533626275753,-1.7638017007723064,1.6636642276024076,-1.413363632509256,610422.9367941772,3665181.534811752,1025198.3167240808,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1456
4323205.351372846,3.5567740910768207e-10,4433287.362559511,1.4195510706543828,-0.16103487276829095,1.8876075173422413,-0.4331329006858502,813387.8028242156,3661543.2266144305,1006074.7178779393,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_393
4120938.1911985455,8.198540489038929e-10,2083563.0106314763,2.8284868574612543,3.0868966371229987,1.3997996800526395,1.7475517208587104,80924.14350700578,400161.57925810345,5224.782070620487,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_252
3230511.9155031233,7.674360899416902e-10,2738419.503363039,0.563423975741702,1.1330899470329348,1.6292890247436085,-0.6894173187880119,241398.6096471708,584362.7815809614,18622.864008849345,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1380
6309362.2322334135,5.597152167545909e-10,1701817.2575232082,1.4264751868131191,0.7514508507137743,1.5767546501378755,-2.5809000520123138,18472.99808676547,120912.82245116658,381.61547946639115,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_24
3790707.3475273564,3.0490055033023523e-10,5316749.0996921,1.7706022792662672,-1.5587395538064075,1.8130835945966601,-2.2186016858181894,1110831.4301783387,3005889.813999551,786067.5223619048,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_931
1289350.5500542794,7.95946677489193e-10,6349509.8035810385,0.636139380315715,2.582356235565123,2.070317028784957,2.544723629859928,1054864.1082813456,175228.82845050076,3849.9313356941284,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1095
6402395.791361837,1.8553662768137794e-10,3075590.3087627357,2.5466808903548737,2.8623012214839436,1.8564381907347682,1.6806322547124863,41861.56009796111,333663.55110973254,4207.073785776937,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_804
3500328.552949812,6.396532629384627e-10,2104385.004202708,1.713529562550073,0.37758402774884003,1.889479371951757,0.9448179282853305,501060.38712667965,2889150.0761806373,483837.3456157176,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1007
2362074.9599382654,6.126720645573149e-10,1043201.8017660439,2.4812010096782275,1.5254311744635272,0.7908386795095417,-1.75675920887991,481045.929017387,2327505.8152302387,534505.6321515624,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1334
7321988.221200973,9.818914536551413e-11,5049753.446645102,0.9931985286188412,-2.436882674071488,2.1817922423053258,-1.554927173677411,69920.51764856464,204464.29015029912,1939.5819630525264,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_584
4975633.213822556,9.301870000300704e-10,7097534.0804653745,1.7150301319081858,0.28938066562599996,1.5690251953385188,1.4336655221999697,841579.8582147255,1996878.2169358546,240418.592803085,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1732
4500076.907568899,6.94534514405322e-10,5055229.127677493,1.917946021835782,0.08978830518740245,1.4930061254584508,-1.788176139162141,525735.0938075046,1378248.8729216296,102908.13256151855,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1527
6725382.870269657,9.414493527619469e-11,7732017.18550129,1.10143327224145,2.9492149159587413,0.45623111697362,-0.24432540480391382,128622.66528668537,288180.79237014847,4655.620202343303,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1319
5710304.227918139,1.0084177439867271e-10,5636609.663419272,1.1948797967690223,2.2897626475970076,1.2218551589016264,0.49767439016786996,147622.15588254377,336691.8284717559,6245.567669977891,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1792
6019337.5881780125,8.064714610679015e-10,8895638.656881532,0.8596466410631185,1.7497068908240763,1.5789509086298263,1.1870977010012638,1088066.7560009193,3798533.0684967553,849427.8580820346,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1902
6428699.537810326,7.376565295263258e-10,2802207.3300368576,2.493378055876267,1.9003315110187198,1.4406811242999642,-2.9901440211556336,368041.08281563706,1728988.5623646884,97592.18041992288,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_291
5132499.685821915,1.6191979143737067e-10,497720.20681911556,1.7949183459953133,1.7777057545813773,1.9516417504619923,-1.6742642194069572,40303.68844684316,173963.6522144546,1097.0553041385344,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_933
2228698.8223655294,7.612000804699662e-10,7320478.888063576,2.623061271690203,-2.6077210740218133,1.7185628242101454,-0.4634868100900657,714112.5179147753,307408.74261923874,10296.34088990134,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_593
4504468.631221189,7.496101673074586e-10,5352233.910260571,1.1220367938640914,-1.139903782163684,2.021582472161826,2.462130490202307,1004144.5846678187,4092784.9587464877,1459258.6621747075,mumax3_MinDriver,mumax_mindrive_data/data/output_164794_243
5656897.668411041,6.031984918427652e-10,9719306.0541913,1.865896754357789,2.538074841170675,0.6373654214361654,-1.9215576594755852,911905.0486815578,2096417.8515147036,267322.9123197271,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1576
7850897.87382444,5.573662289872893e-10,1222678.8719274662,1.734641199434331,0.5867273895337197,2.26382931494643,-2.299033752174946,100421.77021258176,543005.6109478452,7829.404679835659,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1580
6571204.131324282,3.0988562733063716e-10,5381659.107546682,1.7679000581223951,-1.5470124011942192,2.6700903070251094,1.6273589994873774,168609.3146181427,585195.1216927675,14594.711073428165,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_358
4752460.397378412,4.851371322764014e-10,3549271.8859053287,1.2047497500394693,-1.3167707756570906,2.417564076629766,-1.3534064420188532,387320.333423511,1705488.9604288726,116806.42482932782,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_749
5818032.814858207,1.885258912762778e-10,7246391.577261865,1.4685846457705385,-1.343582798618345,2.247236063172278,1.4778376541280944,505801.01571450825,4515241.879455041,1147827.476859225,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1370
3342359.8844165285,2.1501313820312762e-10,9123813.115561593,2.0432205337604956,1.0159756021572948,1.9691950319008473,-1.636680168220354,1952785.7731732118,1829082.8636148255,335257.8542857833,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1928
3306153.853949287,4.3625239429471586e-10,4451137.801044177,1.8396909227717817,-2.2930458291846705,0.34678423387935814,1.8406501527659902,821316.265435972,1414084.836712521,146181.485359855,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1065
7903958.565733891,7.166606371552848e-10,5302454.35166465,0.6888725544947911,2.534656375907944,1.964154360293924,2.9263826422449024,285438.81056784873,1306526.293348594,69104.27559978,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1889
3399383.009927025,8.649955969556612e-10,6711457.860874089,1.5321520034246527,0.8691846184628215,0.7529842564836077,1.755895249119044,1277094.4870643031,1563191.2668597153,211474.23838621916,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_352
