Model,Split,adj_r2,gini,r2,mse,mape,mae
random_forest,train,0.9781248073914693,-0.38934508853939914,0.9781359270725514,0.11853704314261267,2.4016095450909374,0.1553470399044787
random_forest,test,0.8517051633861581,-0.38788874168769505,0.8520067288902025,0.8259552761606731,5.788565565973246,0.4213945619544834
neural_network,train,0.8680980867355621,-0.38793306956197365,0.8681651356176383,0.7147485767564219,6.666927676521698,0.4124467897980686
neural_network,test,0.8670291040585247,-0.38876243743371197,0.8672995075073127,0.7406057795839802,6.264643662309531,0.4269089272369491
linear_regression,train,0.38738846747818556,-0.3713379218679529,0.38769987250170657,3.319612355407659,18.086362339626174,1.2979586371328224
linear_regression,test,0.39753006213164876,-0.3724383589492493,0.3987552170637654,3.3555667565576606,16.73700670807227,1.2984996672475289
lasso,train,0.38731983618919186,-0.3713419372389987,0.38763127609963066,3.3199842538503366,18.118480007365335,1.3003728025096857
lasso,test,0.39718973014135683,-0.37243853100205004,0.3984155771568295,3.3574622979631905,16.76960016095701,1.3014403285013416
