Model,Split,adj_r2,gini,r2,mse,mape,mae
random_forest,train,0.9780693155626468,-0.3691142472107076,0.9780804634515462,0.06300854737727214,36.51188126968448,0.10816564610938333
random_forest,test,0.8537949195204191,-0.36819186388473124,0.8540922353932804,0.43293522230835163,3.2246961490389165,0.29571826862511047
neural_network,train,0.8532944576758233,-0.36817496519496057,0.8533690315949105,0.4038917593675289,86.8980569342731,0.32565165608293917
neural_network,test,0.8591692207008002,-0.36865371099379013,0.8594556076439607,0.4046031524470442,3.657407473788131,0.33215198357048714
linear_regression,train,0.45614326294075846,-0.3593687748628378,0.4564197182652263,1.6547445643645828,103.19980823229942,0.8504378088879413
linear_regression,test,0.47365416758741163,-0.36004824603790214,0.4747245200681694,1.6495501346119186,8.94988985189519,0.8504247938704927
lasso,train,0.4559554223912887,-0.35936835346446405,0.4562319731995788,1.6551406151335446,103.6015646768939,0.8528911481115555
lasso,test,0.47323913115351746,-0.360048131126252,0.47431032763312403,1.6506544349318808,8.974638744129825,0.8533038324592764
