Model,Split,adj_r2,gini,r2,mse,mape,mae
random_forest,train,0.9833180391300378,-0.36307897914381293,0.9833265189678164,0.03317131105681053,0.8918525071313154,0.0905452067815241
random_forest,test,0.8862226126794277,-0.36258905993063467,0.8864539850989916,0.22611086393814875,2.1868936232287854,0.2497919963797918
neural_network,train,0.8793202921509706,-0.3625703223513862,0.8793816365189203,0.2399660422722379,2.66052011103171,0.2814959624061742
neural_network,test,0.8837299040685823,-0.3627384295306612,0.8839663455448028,0.23106464703000584,2.489425251369841,0.28650995757546194
linear_regression,train,0.5981529662035898,-0.35939094669909577,0.5983572346157369,0.7990543233631006,5.443620040985724,0.6151693847526574
linear_regression,test,0.6129910520572721,-0.35963529531237337,0.6137780555101298,0.7691064949889385,5.158328478511135,0.6091155221491751
lasso,train,0.597929506552547,-0.35940377892693537,0.5981338885545535,0.7994986625898357,5.4655919697439455,0.6182463487335893
lasso,test,0.612731887442395,-0.3596475927997696,0.6135194179203972,0.7696215352473949,5.181255447448528,0.6123006421415954
