Model,Split,adj_r2,gini,r2,mse,mape,mae
random_forest,train,0.9727651001664335,-0.3549186739489108,0.9727789443142711,0.03731728793239292,106.24218175683117,0.07860469164214716
random_forest,test,0.8234569824956708,-0.3540977900358641,0.8238159921906466,0.24673952682623326,1.6986292579147189,0.2159682475410563
neural_network,train,0.8124649941409375,-0.3540215036715219,0.812560322648173,0.2569606590739266,251.36672301526585,0.28301221604457355
neural_network,test,0.8267486539752935,-0.3544602660169972,0.8271009698797668,0.24213903072714743,2.2181535076850207,0.28303706589904976
linear_regression,train,0.3828883551404998,-0.3473774560214647,0.38320204767823496,0.8455670143229913,286.0694423162863,0.6381854047783471
linear_regression,test,0.41044138857331514,-0.3480710838520838,0.4116402876306139,0.8239771522891539,4.954334369102168,0.6436591922147739
lasso,train,0.3826169244321287,-0.34735934422745796,0.38293075494455364,0.8459389289604555,287.22062205357236,0.6400542930913947
lasso,test,0.40979577587680127,-0.3480582695769363,0.41099598782214586,0.8248794715850555,4.97306062398393,0.6461705267348897
