x_pos,y_pos,ceriumoxidealpha_phase_fraction
25.0,-5.0,0.0466
25.0,0.0,0.0461
25.0,5.0,0.05
25.0,10.0,0.0193
25.0,15.0,0.0141
25.0,20.0,0.0197
25.0,25.0,0.049
25.0,30.0,0.0694
25.0,35.0,0.095
25.0,40.0,0.1158
30.0,-40.0,0.0816
30.0,-35.0,0.0
30.0,-30.0,0.0446
30.0,-25.0,0.0457
30.0,-20.0,0.0362
30.0,-15.0,0.0209
30.0,-10.0,0.0278
30.0,-5.0,0.0201
30.0,0.0,0.0316
30.0,5.0,0.0247
30.0,10.0,0.026
30.0,15.0,0.0419
30.0,20.0,0.0539
30.0,25.0,0.0698
30.0,30.0,0.0984
30.0,35.0,0.0
30.0,40.0,1.0
35.0,-40.0,
35.0,-35.0,0.0
35.0,-30.0,0.0
35.0,-25.0,0.0553
35.0,-20.0,0.0513
35.0,-15.0,0.0515
35.0,-10.0,0.0522
35.0,-5.0,0.0453
35.0,0.0,0.0504
35.0,5.0,0.0523
35.0,10.0,0.0613
35.0,15.0,0.0653
35.0,20.0,0.0754
35.0,25.0,0.0908
35.0,30.0,0.101
35.0,35.0,1.0
35.0,40.0,
40.0,-40.0,
40.0,-35.0,
40.0,-30.0,0.0618
40.0,-25.0,0.0769
40.0,-20.0,0.068
40.0,-15.0,0.0708
40.0,-10.0,0.0634
40.0,-5.0,0.0702
40.0,0.0,0.0705
40.0,5.0,0.084
40.0,10.0,0.0822
40.0,15.0,0.0865
40.0,20.0,0.1021
40.0,25.0,0.1201
40.0,30.0,1.0
40.0,35.0,
40.0,40.0,
